取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-18 17:08,2026-09,3,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,658,100,7,14,90.0,,,―
2026-09-18 17:08,2026-09,3,1438,岐阜造園,,,,―,―,―,―,2304,200,7,97,0,,,―
2026-09-18 17:08,2026-09,3,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,3000,7,156,0,,,―
2026-09-18 17:08,2026-09,3,1770,藤田エンジニアリング,,,,―,―,―,―,2317,100,7,49,0,,,―
2026-09-18 17:08,2026-09,3,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,7,14,0,,,―
2026-09-18 17:08,2026-09,3,1795,マサル,,,,―,―,―,―,5800,200,7,245,0,,,―
2026-09-18 17:08,2026-09,3,1822,大豊建設,4600,0,0,×,―,―,―,845,100,7,18,36.0,0,17000,×
2026-09-18 17:08,2026-09,3,1828,田辺工業,,,,―,―,―,―,2460,100,7,52,0,,,―
2026-09-18 17:08,2026-09,3,1848,富士ピー・エス,0,,,―,―,―,―,808,100,7,17,12,,,―
2026-09-18 17:08,2026-09,3,1867,植木組,0,,,―,―,―,―,2742,100,7,58,0.0,,,―
2026-09-18 17:08,2026-09,3,1879,新日本建設,100,0,0,×,―,―,―,2336,300,7,148,0,0,100,×
2026-09-18 17:08,2026-09,3,1904,大成温調,,,,―,―,―,―,5210,300,7,330,250.0,,,―
2026-09-18 17:08,2026-09,3,1952,新日本空調,3300,58100,1900,▲,―,◎,―,3270,300,7,207,2.0,,,▲
2026-09-18 17:08,2026-09,3,2053,中部飼料,7400,32100,48800,◎,◎,―,―,2078,500,7,219,4.0,49000,9900,◎
2026-09-18 17:08,2026-09,3,2114,フジ日本,,,,―,―,―,―,675,100,7,14,29.0,,,―
2026-09-18 17:08,2026-09,3,2120,ＬＩＦＵＬＬ,4000,,,×,―,―,―,237,4000,7,200,0.0,,,×
2026-09-18 17:08,2026-09,3,2122,インタースペース,,,,―,―,―,―,1440,400,7,122,0,,,―
2026-09-18 17:08,2026-09,3,2185,シイエム・シイ,,,,―,―,―,―,2002,100,7,42,0,,,―
2026-09-18 17:08,2026-09,3,2201,森永製菓,4600,200500,600,▲,―,◎,―,2521,100,7,53,0.0,,,▲
2026-09-18 17:08,2026-09,3,2207,ｍｅｉｔｏ,0,,0,×,―,―,―,3470,100,7,73,18,0,1800,×
2026-09-18 17:08,2026-09,3,2208,ブルボン,,,,―,―,―,―,3130,100,7,66,0,,,―
2026-09-18 17:08,2026-09,3,2209,井村屋グループ,0,,3600,◎,―,―,―,2369,100,7,50,0,3600,0,◎
2026-09-18 17:08,2026-09,3,2220,亀田製菓,4800,16500,1400,◎,―,◎,―,1333,100,7,28,3.0,1400,5600,◎
2026-09-18 17:08,2026-09,3,2221,岩塚製菓,,,,―,―,―,―,3045,200,7,128,0,,,―
2026-09-18 17:08,2026-09,3,2226,湖池屋,,,,―,―,―,―,4905,100,7,103,1.0,,,―
2026-09-18 17:08,2026-09,3,2264,森永乳業,1300,1273700,11800,×,―,◎,―,1158,200,7,49,6.0,12000,6400,×
2026-09-18 17:08,2026-09,3,2267,ヤクルト本社,1400,615500,1600,▲,―,◎,―,2870,100,7,61,5.0,,,▲
2026-09-18 17:08,2026-09,3,2281,プリマハム,3100,18700,19700,▲,◎,―,―,2448,200,7,103,6.0,20000,20000,▲
2026-09-18 17:08,2026-09,3,2282,日本ハム,1100,501500,4100,▲,◎,◎,―,6292,300,7,398,13.0,4100,1200,▲
2026-09-18 17:08,2026-09,3,2288,丸大食品,7000,0,0,×,◎,―,―,2318,200,7,98,15.0,0,29000,×
2026-09-18 17:08,2026-09,3,2307,クロスキャット,6200,,8500,▲,―,―,―,1093,200,7,46,0,8500,8100,▲
2026-09-18 17:08,2026-09,3,2335,キューブシステム,0,,0,×,―,―,―,1101,200,7,46,18.0,0,400,×
2026-09-18 17:08,2026-09,3,2340,極楽湯ホールディングス,,,,―,―,―,―,537,100,7,11,0,,,―
2026-09-18 17:08,2026-09,3,2378,ルネサンス,0,,,×,―,―,―,1053,100,7,22,48,,0,×
2026-09-18 17:08,2026-09,3,2432,ディー・エヌ・エー,3800,48000,3600,▲,◎,◎,―,2578,100,7,54,0,3600,3800,▲
2026-09-18 17:08,2026-09,3,2454,オールアバウト,,,,―,―,―,―,351,300,7,22,0,,,―
2026-09-18 17:08,2026-09,3,2464,Ａｏｂａ－ＢＢＴ,0,,,―,―,―,―,376,100,7,8,0,,,―
2026-09-18 17:08,2026-09,3,2480,システム・ロケーション,,,,―,―,―,―,1850,100,7,39,0,,,―
2026-09-18 17:08,2026-09,3,2497,ユナイテッド,,,,―,―,―,―,526,1000,7,111,12,,,―
2026-09-18 17:08,2026-09,3,2551,マルサンアイ,,,,―,―,―,―,3620,100,362,3949,0,,,―
2026-09-18 17:08,2026-09,3,2586,フルッタフルッタ,,,,―,―,―,―,66,100,7,1,0,,,―
2026-09-18 17:08,2026-09,3,2594,キーコーヒー,0,,0,×,―,―,―,2015,100,7,43,17.0,0,0,×
2026-09-18 17:08,2026-09,3,2652,まんだらけ,,,,―,―,―,―,442,100,7,9,16.0,,,―
2026-09-18 17:08,2026-09,3,2654,アスモ,,,,―,―,―,―,429,300,7,27,0,,,―
2026-09-18 17:08,2026-09,3,2694,焼肉坂井ホールディングス,,,,―,―,―,―,72,100,7,2,8,,,―
2026-09-18 17:08,2026-09,3,2705,大戸屋ホールディングス,,,,―,―,―,―,8990,100,7,190,2.0,,,―
2026-09-18 17:08,2026-09,3,2733,あらた,2600,74600,13900,◎,◎,◎,―,2739,100,7,58,7.0,14000,5300,◎
2026-09-18 17:08,2026-09,3,2737,トーメンデバイス,2300,,,▲,―,―,―,36000,100,7,759,0,,,▲
2026-09-18 17:08,2026-09,3,2749,ＪＰホールディングス,0,,0,×,―,―,―,681,500,7,72,2.0,,,×
2026-09-18 17:08,2026-09,3,2750,石光商事,,,,―,―,―,―,1359,300,7,86,4.0,,,―
2026-09-18 17:08,2026-09,3,2764,ひらまつ,0,,,―,―,―,―,171,500,7,18,0,,,―
2026-09-18 17:08,2026-09,3,2790,ナフコ,,,,―,―,―,―,2107,100,7,44,0,,,―
2026-09-18 17:08,2026-09,3,2805,ヱスビー食品,,,,―,―,―,―,7770,100,7,164,0,,,―
2026-09-18 17:08,2026-09,3,2810,ハウス食品グループ本社,3300,49000,1900,▲,―,◎,―,4022,100,7,85,3.0,,,▲
2026-09-18 17:08,2026-09,3,2814,佐藤食品工業,,,,―,―,―,―,1915,300,7,121,0,,,―
2026-09-18 17:08,2026-09,3,2815,アリアケジャパン,1500,150000,1300,▲,―,◎,―,5260,1000,7,1110,5.0,,,▲
2026-09-18 17:08,2026-09,3,2816,ダイショー,,,,―,―,―,―,1419,100,7,30,36,,,―
2026-09-18 17:08,2026-09,3,2818,ピエトロ,0,,,―,―,―,―,1761,100,7,37,14.0,,,―
2026-09-18 17:08,2026-09,3,2831,はごろもフーズ,,,,―,―,―,―,3685,100,7,78,0,,,―
2026-09-18 17:08,2026-09,3,2874,横浜冷凍,4400,57500,13800,◎,―,◎,―,2179,1000,7,460,2.0,,,◎
2026-09-18 17:08,2026-09,3,2883,大冷,0,,,―,―,―,―,2000,100,7,42,0,,0,―
2026-09-18 17:08,2026-09,3,2897,日清食品ホールディングス,4000,373400,4400,▲,◎,◎,―,2992,900,7,568,10.0,4400,5200,▲
2026-09-18 17:08,2026-09,3,2907,あじかん,,,,―,―,―,―,1540,500,7,162,1.0,,,―
2026-09-18 17:08,2026-09,3,2911,旭松食品,,,,―,―,―,―,2260,2000,7,954,0,,,―
