取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-17 17:32,2026-09,4,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,656,100,8,16,90.0,,,―
2026-09-17 17:32,2026-09,4,1438,岐阜造園,,,,―,―,―,―,2304,200,8,111,0,,,―
2026-09-17 17:32,2026-09,4,1711,ＳＤＳホールディングス,,,,―,―,―,―,245,3000,8,177,0,,,―
2026-09-17 17:32,2026-09,4,1770,藤田エンジニアリング,,,,―,―,―,―,2294,100,8,55,0,,,―
2026-09-17 17:32,2026-09,4,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,8,16,0,,,―
2026-09-17 17:32,2026-09,4,1795,マサル,,,,―,―,―,―,5830,200,8,281,0,,,―
2026-09-17 17:32,2026-09,4,1822,大豊建設,16000,0,0,×,―,―,―,832,100,8,20,36.0,0,16000,×
2026-09-17 17:32,2026-09,4,1828,田辺工業,,,,―,―,―,―,2462,100,8,59,0,,,―
2026-09-17 17:32,2026-09,4,1848,富士ピー・エス,0,,,―,―,―,―,828,100,8,20,12,,,―
2026-09-17 17:32,2026-09,4,1867,植木組,0,,,―,―,―,―,2739,100,8,66,0.0,,,―
2026-09-17 17:32,2026-09,4,1879,新日本建設,0,0,0,×,―,―,―,2297,300,8,166,0,0,0,×
2026-09-17 17:32,2026-09,4,1904,大成温調,,,,―,―,―,―,5160,300,8,373,250.0,,,―
2026-09-17 17:32,2026-09,4,1952,新日本空調,3700,57900,2000,▲,―,◎,―,3215,300,8,233,2.0,,,▲
2026-09-17 17:32,2026-09,4,2053,中部飼料,8400,28100,49000,◎,1000,―,―,2064,500,8,249,4.0,49000,8400,◎
2026-09-17 17:32,2026-09,4,2114,フジ日本,,,,―,―,―,―,675,100,8,16,29.0,,,―
2026-09-17 17:32,2026-09,4,2120,ＬＩＦＵＬＬ,0,,,×,―,―,―,235,4000,8,227,0.0,,,×
2026-09-17 17:32,2026-09,4,2122,インタースペース,,,,―,―,―,―,1458,400,8,141,0,,,―
2026-09-17 17:32,2026-09,4,2185,シイエム・シイ,,,,―,―,―,―,1998,100,8,48,0,,,―
2026-09-17 17:32,2026-09,4,2201,森永製菓,2600,199500,800,▲,―,◎,―,2489,100,8,60,0.0,,,▲
2026-09-17 17:32,2026-09,4,2207,ｍｅｉｔｏ,1600,,0,×,―,―,―,3465,100,8,84,18,0,1600,×
2026-09-17 17:32,2026-09,4,2208,ブルボン,,,,―,―,―,―,3130,100,8,75,0,,,―
2026-09-17 17:32,2026-09,4,2209,井村屋,0,,2700,◎,―,―,―,2366,100,8,57,0,2700,0,◎
2026-09-17 17:32,2026-09,4,2220,亀田製菓,4800,16000,900,◎,―,◎,―,1344,100,8,32,3.0,900,4800,◎
2026-09-17 17:32,2026-09,4,2221,岩塚製菓,,,,―,―,―,―,3045,200,8,147,0,,,―
2026-09-17 17:32,2026-09,4,2226,湖池屋,,,,―,―,―,―,4915,100,8,118,1.0,,,―
2026-09-17 17:32,2026-09,4,2264,森永乳業,7500,1271900,13000,◎,―,◎,―,1140,200,8,55,6.0,13000,7500,◎
2026-09-17 17:32,2026-09,4,2267,ヤクルト本社,1100,615400,1900,▲,―,◎,―,2832,100,8,68,5.0,,,▲
2026-09-17 17:32,2026-09,4,2281,プリマハム,19000,0,22000,◎,200,―,―,2418,200,8,117,6.0,22000,19000,◎
2026-09-17 17:32,2026-09,4,2282,日本ハム,1600,501500,4100,▲,1000,◎,―,6211,300,8,449,13.0,4100,1600,▲
2026-09-17 17:32,2026-09,4,2288,丸大食品,25000,0,0,×,200,―,―,2286,200,8,110,15.0,0,25000,×
2026-09-17 17:32,2026-09,4,2307,クロスＣ,4400,,8800,▲,―,―,―,1077,200,8,52,0,8800,4400,▲
2026-09-17 17:32,2026-09,4,2335,キューブＳ,3500,,0,×,―,―,―,1097,200,8,53,18.0,0,3500,×
2026-09-17 17:32,2026-09,4,2340,極楽湯ホールディングス,,,,―,―,―,―,535,100,8,13,0,,,―
2026-09-17 17:32,2026-09,4,2378,ルネサンス,0,,,×,―,―,―,1051,100,8,25,48,,0,×
2026-09-17 17:32,2026-09,4,2432,Ｄ・Ｎ・Ａ,2200,48700,3600,▲,300,◎,―,2535,100,8,61,0,3600,2200,▲
2026-09-17 17:32,2026-09,4,2454,オールアバウト,,,,―,―,―,―,351,300,8,25,0,,,―
2026-09-17 17:32,2026-09,4,2464,Ａｏｂａ－ＢＢＴ,0,,,―,―,―,―,368,100,8,9,0,,,―
2026-09-17 17:32,2026-09,4,2480,システム・ロケーション,,,,―,―,―,―,1838,100,8,44,0,,,―
2026-09-17 17:32,2026-09,4,2497,ユナイテッド,,,,―,―,―,―,526,1000,8,127,12,,,―
2026-09-17 17:32,2026-09,4,2551,マルサンアイ,,,,―,―,―,―,3620,100,1,11,0,,,―
2026-09-17 17:32,2026-09,4,2586,フルッタフルッタ,,,,―,―,―,―,68,100,8,2,0,,,―
2026-09-17 17:32,2026-09,4,2594,キーコーヒー,400,,0,×,―,―,―,2004,100,8,48,17.0,0,400,×
2026-09-17 17:32,2026-09,4,2652,まんだらけ,,,,―,―,―,―,437,100,8,11,16.0,,,―
2026-09-17 17:32,2026-09,4,2654,アスモ,,,,―,―,―,―,429,300,8,31,0,,,―
2026-09-17 17:32,2026-09,4,2694,焼肉坂井ホールディングス,,,,―,―,―,―,71,100,8,2,8,,,―
2026-09-17 17:32,2026-09,4,2705,大戸屋ホールディングス,,,,―,―,―,―,9040,100,8,218,2.0,,,―
2026-09-17 17:32,2026-09,4,2733,あらた,3900,70300,15000,◎,200,◎,―,2699,100,8,65,7.0,15000,3900,◎
2026-09-17 17:32,2026-09,4,2737,トーメンデバイス,2000,,,×,―,―,―,37000,100,8,892,0,,,×
2026-09-17 17:32,2026-09,4,2749,ＪＰホールディングス,0,,0,×,―,―,―,679,500,8,82,2.0,,,×
2026-09-17 17:32,2026-09,4,2750,石光商事,,,,―,―,―,―,1352,300,8,98,4.0,,,―
2026-09-17 17:32,2026-09,4,2764,ひらまつ,0,,,―,―,―,―,169,500,8,20,0,,,―
2026-09-17 17:32,2026-09,4,2790,ナフコ,,,,―,―,―,―,2110,100,8,51,0,,,―
2026-09-17 17:32,2026-09,4,2805,ヱスビー食品,,,,―,―,―,―,7750,100,8,187,0,,,―
2026-09-17 17:32,2026-09,4,2810,ハウス食品グループ本社,3300,49700,1900,▲,―,◎,―,3987,100,8,96,3.0,,,▲
2026-09-17 17:32,2026-09,4,2814,佐藤食品工業,,,,―,―,―,―,1915,300,8,139,0,,,―
2026-09-17 17:32,2026-09,4,2815,アリアケジャパン,1500,150100,1300,▲,―,◎,―,5240,1000,8,1263,5.0,,,▲
2026-09-17 17:32,2026-09,4,2816,ダイショー,,,,―,―,―,―,1418,100,8,34,36,,,―
2026-09-17 17:32,2026-09,4,2818,ピエトロ,0,,,―,―,―,―,1758,100,8,42,14.0,,,―
2026-09-17 17:32,2026-09,4,2831,はごろもフーズ,,,,―,―,―,―,3685,100,8,89,0,,,―
2026-09-17 17:32,2026-09,4,2874,横浜冷凍,7600,42200,14400,◎,―,◎,―,2150,1000,8,518,2.0,,,◎
2026-09-17 17:32,2026-09,4,2883,大冷,0,,,―,―,―,―,2000,100,8,48,0,,0,―
2026-09-17 17:32,2026-09,4,2897,日清食品,2100,375900,4700,▲,300,◎,―,2949,900,8,640,10.0,4700,2100,▲
2026-09-17 17:32,2026-09,4,2907,あじかん,,,,―,―,―,―,1530,500,8,184,1.0,,,―
2026-09-17 17:32,2026-09,4,2911,旭松食品,,,,―,―,―,―,2260,2000,8,1090,0,,,―
2026-09-17 17:32,2026-09,4,2916,仙波糖化工業,,,,―,―,―,―,738,500,8,89,0,,,―
2026-09-17 17:32,2026-09,4,2917,大森屋,,,,―,―,―,―,925,1000,8,223,0,,,―
2026-09-17 17:32,2026-09,4,2933,紀文食品,3100,,0,×,―,―,―,1131,300,8,82,29.0,0,3100,×
2026-09-17 17:32,2026-09,4,2974,大英産業,,,,―,―,―,―,918,100,8,22,0,,,―
2026-09-17 17:32,2026-09,4,2998,クリアル,,,,―,―,―,―,526,100,8,13,0,,,―
2026-09-17 17:32,2026-09,4,3002,グンゼ,7800,42400,12000,▲,―,◎,―,4055,100,8,98,18.0,12000,7800,▲
2026-09-17 17:32,2026-09,4,3010,ポラリス・ホールディングス,,,,―,―,―,―,188,500,8,23,0,,,―
2026-09-17 17:32,2026-09,4,3032,ゴルフ・ドゥ,,,,―,―,―,―,232,500,8,28,0,,,―
2026-09-17 17:32,2026-09,4,3066,ＪＢイレブン,,,,―,―,―,―,653,100,8,16,0,,,―
2026-09-17 17:32,2026-09,4,3067,東京一番フーズ,0,,,―,―,―,―,467,500,8,56,14.0,,,―
2026-09-17 17:32,2026-09,4,3069,ＪＦＬＡホールディングス,,,,―,―,―,×,165,500,8,20,24,,,―
2026-09-17 17:32,2026-09,4,3088,マツココ,12000,1262300,68000,▲,1000,◎,▲,2497,100,8,60,6.0,68000,12000,▲
2026-09-17 17:32,2026-09,4,3096,オーシャンシステム,,,,―,―,―,―,1616,200,8,78,0,,,―
2026-09-17 17:32,2026-09,4,3099,三越伊勢丹,7100,793700,1900,▲,―,◎,―,3272,100,8,79,3.0,1900,7100,▲
2026-09-17 17:32,2026-09,4,3143,オーウイル,,,,―,―,―,―,717,300,8,52,0,,,―
2026-09-17 17:32,2026-09,4,3153,八洲電機,32000,,0,×,―,―,―,3155,100,8,76,0,0,32000,×
2026-09-17 17:32,2026-09,4,3167,ＴＯＫＡＩ,31000,193500,181000,◎,―,◎,―,1384,300,8,100,3.0,181000,31000,◎
2026-09-17 17:32,2026-09,4,3175,エー・ピーホールディングス,0,,,―,―,―,―,980,200,8,47,0,,,―
2026-09-17 17:32,2026-09,4,3176,三洋貿易,4300,0,0,×,―,―,―,1171,500,8,141,0.0,0,4300,×
2026-09-17 17:32,2026-09,4,3178,チムニー,0,,,―,―,―,―,1206,100,8,29,21.0,,,―
2026-09-17 17:32,2026-09,4,3190,ホットマン,,,,―,―,―,―,585,100,8,14,0,,,―
2026-09-17 17:32,2026-09,4,3199,綿半ホールディングス,6300,1200,4200,▲,―,―,―,1316,100,8,32,0.0,,,▲
2026-09-17 17:32,2026-09,4,3221,ヨシックス,200,,0,×,―,―,―,3230,100,8,78,53.0,0,200,×
2026-09-17 17:32,2026-09,4,3224,ゼネラル・オイスター,,,,―,―,―,―,698,1000,8,168,0,,,―
2026-09-17 17:32,2026-09,4,3232,三重交通,0,,0,×,―,―,―,599,100,8,14,5.0,0,0,×
2026-09-17 17:32,2026-09,4,3237,イントランス,,,,―,―,―,―,95,1000,8,23,0,,,―
2026-09-17 17:32,2026-09,4,3289,東急不動産,2400,64000,11000,―,5000,◎,―,1283,100,8,31,1.0,11000,2400,―
2026-09-17 17:32,2026-09,4,3306,日本製麻,,,,―,―,―,―,699,3000,8,506,0,,,―
2026-09-17 17:32,2026-09,4,3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌ,,,,―,―,―,―,94,2500,8,57,0,,,―
2026-09-17 17:32,2026-09,4,3359,ｃｏｔｔａ,,,,―,―,―,―,520,1500,8,188,0,,,―
2026-09-17 17:32,2026-09,4,3371,ソフトクリエ,5000,14100,17000,◎,―,◎,―,2160,100,8,52,2.0,17000,5000,◎
2026-09-17 17:32,2026-09,4,3372,関門海,,,,―,―,―,―,220,100,8,5,0,,,―
2026-09-17 17:32,2026-09,4,3392,デリカフーズホールディングス,0,,,―,―,―,―,801,400,8,77,0,,,―
