取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-25 17:42,2026-09,1,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,655,100,2,4,90.0,,,―
2026-09-25 17:42,2026-09,1,1438,岐阜造園,,,,―,―,―,―,2304,200,2,28,0,,,―
2026-09-25 17:42,2026-09,1,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,3000,2,44,0,,,―
2026-09-25 17:42,2026-09,1,1770,藤田エンジニアリング,,,,―,―,―,―,2330,100,2,14,0,,,―
2026-09-25 17:42,2026-09,1,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,2,4,0,,,―
2026-09-25 17:42,2026-09,1,1795,マサル,,,,―,―,―,―,5740,200,2,69,0,,,―
2026-09-25 17:42,2026-09,1,1822,大豊建設,4800,0,0,×,―,―,―,835,100,2,5,36.0,0,13000,×
2026-09-25 17:42,2026-09,1,1828,田辺工業,,,,―,―,―,―,2425,100,2,15,0,,,―
2026-09-25 17:42,2026-09,1,1848,富士ピー・エス,0,,,―,―,―,―,861,100,2,5,12,,,―
2026-09-25 17:42,2026-09,1,1867,植木組,0,,,―,―,―,―,2704,100,2,16,0.0,,,―
2026-09-25 17:42,2026-09,1,1879,新日本建設,500,0,0,×,―,―,―,2299,300,2,42,0,0,1900,×
2026-09-25 17:42,2026-09,1,1904,大成温調,,,,―,―,―,―,5130,300,2,93,250.0,,,―
2026-09-25 17:42,2026-09,1,1952,新日本空調,4500,57800,1600,▲,▲,◎,―,3230,300,2,58,2.0,,,▲
2026-09-25 17:42,2026-09,1,2053,中部飼料,4900,15600,47500,◎,◎,―,―,2022,500,2,61,4.0,48000,8900,◎
2026-09-25 17:42,2026-09,1,2114,フジ日本,,,,―,―,―,―,673,100,2,4,29.0,,,―
2026-09-25 17:42,2026-09,1,2120,ＬＩＦＵＬＬ,8000,,,×,―,―,―,240,4000,2,58,0.0,,,×
2026-09-25 17:42,2026-09,1,2122,インタースペース,,,,―,―,―,―,1451,400,2,35,0,,,―
2026-09-25 17:42,2026-09,1,2185,シイエム・シイ,,,,―,―,―,―,2013,100,2,12,0,,,―
2026-09-25 17:42,2026-09,1,2201,森永製菓,5300,197100,800,▲,―,◎,―,2469,100,2,15,0.0,,,▲
2026-09-25 17:42,2026-09,1,2207,ｍｅｉｔｏ,0,,0,×,―,―,―,3415,100,2,21,18,0,900,×
