監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,2157,コシダカホールディングス,【100株】買物券 2000円相当,2000,11,1.9,0,,max逆日歩:3.0,2027-08
False,,2164,地域新聞社,【100株】「ちいきの逸品」割引券など,,,0.0,,,,2027-08
False,,2186,ソーバル,【100株】クオカード500円相当,475,,0.0,,,,2027-08
False,,2292,エスフーズ,【500株】【2026のみ記念】黒毛和牛かたローススライス約500ｇ,2000,148,0.15,,,max逆日歩:6,2027-08
False,,2305,スタジオアリス,【100株】写真撮影券,2500,19,1.33,,,max逆日歩:27.0,2027-08
False,,2379,ディップ,【100株】クオカード 500円相当,500,19,0.3,,,max逆日歩:8.0,2027-08
False,,2404,鉄人化ホールディングス,【100株】グループご優待券 3000円相当など,990,5.0,1.85,,,max逆日歩:29.0,2027-08
False,,2669,カネ美食品,【100株】セレクトグルメ配達便 3000円相当,1800,39.0,0.46,,,max逆日歩:163.0,2027-08
False,,2683,ＵＯＧｒｏｕｐ,【100株】オリジナルカレー 2個セット,600,10.0,0.6,,,,2027-08
False,,2685,アンドエスティＨＤ,【100株】株主様ご優待券1500円,1500,36,0.4,,,max逆日歩:7.0,2027-08
False,,2687,シー・ヴイ・エス・ベイエリア,"【100株】宿泊割引券(1,000円)",1000,5.0,2.03,,,max逆日歩:2.0,2027-08
False,,2698,キャンドゥ,【100株】買物券 2200円相当,2200,36,0.6,,,注意喚起:申込停止 / max逆日歩:2.0,2027-08
False,,2735,ワッツ,【200株】ワッツ防災グッズ詰め合わせ （1500円相当）,600,14.0,0.42,,,max逆日歩:6.0,2027-08
False,,2736,フェスタリアホールディングス,"【300株】自社商品10,000円相当 もしくは 割引クーポン15,000円分",10000,,0.0,,,,2027-08
False,,2798,ワイズテーブルコーポレーション,【100株】株主優待券 5000円相当,2825,30.0,0.94,,,,2027-08
False,,2872,セイヒョー,"【100株】アイスなど自社製品2,000円相当",800,19.0,0.42,,,,2027-08
False,,2882,イートアンドホールディングス,"【100株】大阪王将公式通販クーポン券2,000円相当",2000,21,1.0,,,max逆日歩:101.0,2027-08
False,,2884,ヨシムラ・フード・ホールディングス,"【2500株】ホタテ、いくらなどの海鮮セット10,000円相当【注：継続保有制限】",4000,156.0,0.26,,,max逆日歩:19.0,2027-08
False,,2901,ウェルディッシュ,【300株】クオカード5000円相当	【注：継続保有制限】,4750,4.0,10.7,,,,2027-08
False,,2927,ＡＦＣ－ＨＤアムスライフサイエンス,【1000株】通販カタログ商品引換券5000円分など,1600,85.0,0.19,,,,2027-08
False,,2936,ベースフード,"【100株】公式ホームページで利用可能な総額1,500円分のご優待クーポン",1500,3.0,5.34,,,注意喚起:注意喚起 / max逆日歩:1,2027-08
False,,2999,ホームポジション,【1000株】【2026のみ】クオカード20000円,19000,51.0,3.75,,,,2027-08
False,,3035,ケイティケイ,【600株】プレミアム優待クラブ3000ポイント,1800,46.0,0.39,,,max逆日歩:34.0,2027-08
False,,3045,カワサキ,"【100株】オンラインショップクーポン1,500円 及び アルザ泉大津」ご利用券1,500円",3,15.0,0.0,,,,2027-08
False,,3046,ジンズホールディングス,【100株】買物券 9000円相当,9900,62,1.6,0,,max逆日歩:18.0,2027-08
False,,3048,ビックカメラ,【100株】株主様お買物優待券1000円相当,1000,18,0.6,10000,,max逆日歩:8,2027-08
False,,3063,ジェイグループホールディングス,"【100株】【2026増額】お食事優待券3,000円分",3000,12.0,2.54,,,max逆日歩:43.0,2027-08
False,,3065,ライフフーズ,【100株】ジェフグルメカード 500円相当など,440,,0.0,,,,2027-08
False,,3075,銚子丸,【100株】優待お食事券1000円相当,840,17.0,0.49,,,,2027-08
False,,3083,スターシーズ,【500株】クオカード30000円【注：継続保有制限】,28500,60.0,4.79,,,,2027-08
False,,3086,Ｊ．フロント　リテイリング,【100株】買物優待カード10%【新規株主のみ】,700,31,0.26,,,max逆日歩:4.0,2027-08
False,,3168,ＭＥＲＦ,【100株】クオカード 500円相当,475,13.0,0.37,,,max逆日歩:29.0,2027-08
False,,3174,ハピネス・アンド・ディ,【100株】	株主優待券1000円 及び 10%割引券1枚,265,4.0,0.68,,,,2027-08
False,,3189,ＡＮＡＰ,"【100株】ＥＣサイトで使用できる3,000ポイントなど",3000,,0.0,,,,2027-08
False,,3222,ユナイテッド・スーパーマーケット・ホール,【100株】買物券3000円相当など,3000,8,3.6,0,,max逆日歩:4.0,2027-08
False,,3387,クリエイト・レストランツ・ホールディング,"【100株】株主様ご優待券1,500円分",1500,8,1.9,,,max逆日歩:26.0,2027-08
False,,3396,フェリシモ,【100株】食品・生活雑貨など 1000円相当,100,,0.0,,,,2027-08
False,,3490,アズ企画設計,【100株】クオカード4000円相当【注：継続保有制限】,3800,30.0,1.25,,,,2027-08
False,,3498,霞ヶ関キャピタル,【100株】宿泊割引券10000円,10000,74.0,1.35,,,max逆日歩:19.0,2027-08
False,,3536,アクサスホールディングス,【1000株】六甲山ピュアモルトウイスキー「ＭＩＺＵＮＡＲＡ」など【注：継続保有制限】,5000,13.0,3.94,,,,2027-08
False,,3543,コメダホールディングス,【100株】株主優待電子マネー(コメカカード) 1000円相当,1000,30,0.3,200,,max逆日歩:5.0,2027-08
False,,3548,バロックジャパンリミテッド,【100株】クーポン 2000円相当,2000,7,2.7,,,注意喚起:申込停止 / max逆日歩:14.0,2027-08
False,,3556,リネットジャパングループ,【1000株】デジタルギフト15000円相当,10,81.0,0.0,,,,2027-08
False,,3557,ユナイテッド＆コレクティブ,"【100株】優待食事券5000円相当（1,000円ごとに500円割引）",2000,5.0,3.95,,,,2027-08
False,,3560,ほぼ日,【100株】自社商品,400,52,0.08,,,,2027-08
False,,3607,クラウディアホールディングス,【100株】クオカード500円相当など,475,4.0,1.29,,,,2027-08
False,,3608,ＴＳＩホールディングス,【100株】株主優待券（20%割引）1冊,10,13,0.01,1000,,max逆日歩:6.0,2027-08
False,,3612,ワールド,【600株】株主優待券5000円相当【注：継続保有制限】,2500,96.0,0.26,,,max逆日歩:10.0,2027-08
False,,3815,メディア工房,【100株】デジタルギフト2000円相当,1940,4.0,4.46,,,,2027-08
False,,3826,システムインテグレータ,【200株】新潟県産コシヒカリ【注：継続保有制限】,250,10.0,0.25,,,max逆日歩:0.0,2027-08
False,,3946,トーモク,"【300株】【2026のみ】クオカード10,000円",1,138,0.7,,,max逆日歩:0.0,2027-08
False,,3967,エルテス,【800株】【2027より保有制限】	デジタルギフト5000円相当,4850,46,1.05,,,,2027-08
False,,3987,エコモット,"【100株】【2027より保有制限】石屋製菓のお菓子4,000円分など",2000,6.0,3.19,,,注意喚起:申込停止 / max逆日歩:11.0,2027-08
False,,4015,ペイクラウドホールディングス,【300株】デジタルギフト5000円相当,2000,16.0,1.28,,,,2027-08
False,,4343,イオンファンタジー,【100株】買物券 2000円相当,2000,29,0.7,,,max逆日歩:15,2027-08
False,,4397,チームスピリット,【1000株】プレミアム優待クラブ1500ポイント,900,40.0,0.23,,,,2027-08
False,,4432,ウイングアーク１ｓｔ,【100株】プレミアム優待クラブ2500ポイント,2500,33,0.7,,,max逆日歩:8.0,2027-08
False,,4433,ヒト・コミュニケーションズ・ホールディン,【100株】ギフトカード1000円相当,1000,9,1.1,,,,2027-08
False,,4668,明光ネットワークジャパン,【100株】電子マネー500円分,500,8,0.6,,,max逆日歩:19.0,2027-08
False,,5580,プロディライト,【400株】デジタルギフト15000円相当【注：継続保有制限】,14550,63.0,2.31,,,,2027-08
False,,5982,マルゼン,【300株】クオカード1000円相当,950,123.0,0.08,,,,2027-08
False,,6025,日本ＰＣサービス,【500株】株主優待券 5000円相当,100,,0.0,,,,2027-08
False,,6264,マルマエ,【200株】クオカード2000円相当【注：継続保有制限】,1900,37.0,0.52,,,max逆日歩:1.0,2027-08
False,,6289,技研製作所,【300株】プレミアム優待クラブ 2000ポイント,2000,60,0.3,,,max逆日歩:32,2027-08
False,,6522,アスタリスク,【100株】【2026記念】QUO カードPay（デジタルギフト）500円分,485,14,0.35,,,注意喚起:申込停止,2027-08
False,,6543,日宣,【300株】クオカード5000円相当【注：継続保有制限】,4750,36.0,1.34,,,,2027-08
False,,6578,コレックホールディングス,【100株】クオカード1000円相当,950,5.0,2.05,,,,2027-08
False,,7035,ａｎｄ　ｆａｃｔｏｒｙ,"【1000株】プレミアム優待クラブ5,000ポイント",3000,22.0,1.38,,,注意喚起:申込停止 / max逆日歩:0.0,2027-08
False,,7049,識学,【200株】クオカード5000円相当,4750,16.0,3.06,,,注意喚起:注意喚起 / max逆日歩:48,2027-08
False,,7077,ＡＬｉＮＫインターネット,【100株】デジタルギフト1000円相当,970,10.0,0.98,,,,2027-08
False,,7085,カーブスホールディングス,【100株】【2026記念】クオカード もしくは 電子マネー等 2000円相当,1000,10,1.0,200,,max逆日歩:2.0,2027-08
False,,7219,エッチ・ケー・エス,【100株】クオカード1000円相当,950,25.0,0.39,,,,2027-08
False,,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,【100株】自社サービス利用時の特典,,3.0,0.0,,,,2027-08
False,,7357,ジオコード,【200株】デジタルギフト5000円,4850,34.0,1.43,,,,2027-08
False,,7453,良品計画,【100株】優待カード（7%割引）,100,43,0.03,,,max逆日歩:2.0,2027-08
False,,7485,岡谷鋼機,【400株】愛知米ミネアサヒ5kg,1250,,0.0,,,注意喚起:申込停止,2027-08
False,,7504,高速,【100株】クオカード2000円相当,2000,49,0.4,,,注意喚起:注意喚起 / max逆日歩:9,2027-08
False,,7513,コジマ,【100株】買物券 2000円相当,2000,15,1.3,,,max逆日歩:19,2027-08
False,,7514,ヒマラヤ,【100株】ご優待割引券1000円相当 もしくは ヒマラヤポイント1000ポイント,700,,0.0,,,,2027-08
False,,7545,西松屋チェーン,【100株】買物カード1000円相当,1000,20,0.5,5000,,max逆日歩:30,2027-08
False,,7599,ＩＤＯＭ,【100株】【2027より保有制限】デジタルギフト2500円,2500,13,1.9,,,max逆日歩:21.0,2027-08
False,,7603,ジーイエット,【100株】優待券 1000円相当など,500,0.0,14.71,,,注意喚起:申込停止 / max逆日歩:24,2027-08
False,,7607,進和,【100株】お米券2kg【注：継続保有制限】,800,30.0,0.26,,,max逆日歩:14.0,2027-08
False,,7611,ハイデイ日高,【100株】買物券 1000円相当,1000,30,0.3,0,,max逆日歩:24,2027-08
False,,7630,壱番屋,【100株】買物券 1000円相当,1000,10,1.1,,,注意喚起:申込停止 / max逆日歩:24,2027-08
False,,7730,マニー,【300株】クオカード3000円相当【注：継続保有制限】,2850,43.0,0.66,,,max逆日歩:2.0,2027-08
False,,7805,プリントネット,【100株】デジタルギフト500円,13,7.0,0.02,,,max逆日歩:38.0,2027-08
False,,7818,トランザクション,【500株】自社製品,2000,63,0.32,,,max逆日歩:5.0,2027-08
False,,7829,サマンサタバサジャパンリミテッド,【100株】優待割引券（15%割引）2枚,,,0.0,,,,2027-08
False,,7928,旭化学工業,【100株】クオカード1000円相当,950,6.0,1.54,,,,2027-08
False,,8011,三陽商会,【600株】【分割後】SMSポイント2500P 及び 優待セール入場券,2500,109,0.2,,,max逆日歩:11.0,2027-08
False,,8127,ヤマトインターナショナル,"【300株】オンラインショップ利用クーポン券1,000円分 及び オリジナルタオルハンカチ",1000,15.0,0.65,,,注意喚起:注意喚起 / max逆日歩:12,2027-08
False,,8167,リテールパートナーズ,【100株】ＪＣＢギフトカードなど 1000円相当,1000,14,0.7,,,max逆日歩:4.0,2027-08
False,,8181,東天紅,【100株】割引券20% 4枚,40,10.0,0.04,,,,2027-08
False,,8185,チヨダ,【100株】割引券20% 5枚,5,11,0.01,,,max逆日歩:3.0,2027-08
False,,8200,リンガーハット,【100株】株主優待ポイント1650円相当,1650,24,0.7,,,max逆日歩:36,2027-08
False,,8233,高島屋,【100株】割引カード10% (限度額15万円),1000,25,0.47,200,,max逆日歩:3.0,2027-08
False,,8237,松屋,【100株】買物優待カード（10%割引）,250,29,0.11,,,max逆日歩:3.0,2027-08
False,,8244,近鉄百貨店,【100株】株主様お買物優待カード(10%割引：店舗上限額300万円、ネット上限額30万円)など,500,20,0.26,,,max逆日歩:3.0,2027-08
False,,8247,大和,【100株】買物優待カード（10%割引）,10,,0.0,,,,2027-08
False,,8254,さいか屋,"【100株】株主お買物優待券(10％割引)15枚 及び AFC割引券2,500円券×2枚など",2400,,0.0,,,,2027-08
False,,8260,井筒屋,【100株】お買物優待券(7%割引券),2,4.0,0.01,,,max逆日歩:0.0,2027-08
False,,8267,イオン,【100株】オーナーズカード1％キャッシュバック,100,14,0.08,5000,,max逆日歩:3,2027-08
False,,8273,イズミ,【100株】買物券1000円相当もしくはギフトカード500円相当,1000,11,0.9,,,max逆日歩:7.0,2027-08
False,,8276,平和堂,【100株】株主様ご優待券（割引券） 1000円相当,1000,27,0.4,5000,,max逆日歩:5.0,2027-08
False,,8278,フジ,【300株】新米2kg【注：継続保有制限】,500,102.0,0.05,,,max逆日歩:45.0,2027-08
False,,8508,Ｊトラスト,【100株】【基準日9月2日】【2026記念】デジタルギフト10000円,25000,8.0,32.43,,,,2027-08
False,,8783,ＧＦＡ,【100株】株主優待ポイント10000円相当,10000,,0.0,,,,2027-08
False,,8904,ＡＶＡＮＴＩＡ,【100株】クオカード 1000円相当【注：継続保有制限】,950,8.0,1.15,,,注意喚起:申込停止 / max逆日歩:6,2027-08
False,,9010,富士急行,【100株】【2026記念】遊園地フリーパスペアチケット引換券 1枚,2500,28,0.95,,,注意喚起:注意喚起 / max逆日歩:101.0,2027-08
False,,9241,フューチャーリンクネットワーク,"【100株】まいぷれのご当地ギフト5,000円相当",3000,13.0,2.36,,,,2027-08
False,,9326,関通ホールディングス,【100株】Amazonギフトカード3000ポイント【注：継続保有制限】,2910,5.0,6.17,,,,2027-08
False,,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,【100株】U-NEXT90日分利用料及びポイント1000円分,1000,18,0.57,0,,max逆日歩:14.0,2027-08
False,,9601,松竹,【100株】映画招待ポイント　8回分,,111,0.0,,,max逆日歩:34.0,2027-08
False,,9602,東宝,【100株】株主映画ご招待券1枚,1000,16,0.63,0,,max逆日歩:5.0,2027-08
False,,9661,歌舞伎座,【150株】歌舞伎座招待券,,,0.0,,,,2027-08
False,,9778,昴,【100株】３kgの青森産高級りんご,1500,,0.0,,,,2027-08
False,,9842,アークランズ,【100株】ご優待券1100円相当,1100,19,0.6,,,max逆日歩:12.0,2027-08
False,,9846,天満屋ストア,【100株】ＶＪＡギフトカード 1000円相当,970,10.0,0.99,,,,2027-08
False,,9861,吉野家ホールディングス,【200株】食事券 5000円相当,2000,38,0.5,0,,max逆日歩:12,2027-08
False,,9903,カンセキ,【100株】買物優待券（15%割引）,300,9.0,0.34,,,max逆日歩:24,2027-08
False,,9946,ミニストップ,【100株】ソフトクリーム交換券5枚,1000,19,0.55,,,max逆日歩:30,2027-08
False,,9978,文教堂グループホールディングス,【100株】商品購入時 5％割引優待,400,,0.0,,,,2027-08
False,,9979,大庄,【100株】食事券 3000円相当,3000,11,2.7,,,max逆日歩:30,2027-08
False,,9993,ヤマザワ,【100株】【山形・宮城以外】つや姫2kg【注：継続保有制限】,500,12.0,0.43,,,,2027-08
