取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-24 22:00,2026-09,2,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,655,100,3,6,90.0,,,―
2026-09-24 22:00,2026-09,2,1438,岐阜造園,,,,―,―,―,―,2304,200,3,42,0,,,―
2026-09-24 22:00,2026-09,2,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,3000,3,67,0,,,―
2026-09-24 22:00,2026-09,2,1770,藤田エンジニアリング,,,,―,―,―,―,2330,100,3,21,0,,,―
2026-09-24 22:00,2026-09,2,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,3,6,0,,,―
2026-09-24 22:00,2026-09,2,1795,マサル,,,,―,―,―,―,5740,200,3,104,0,,,―
2026-09-24 22:00,2026-09,2,1822,大豊建設,41500,6300,0,×,―,―,―,835,100,3,8,36.0,100,17000,×
2026-09-24 22:00,2026-09,2,1828,田辺工業,,,,―,―,―,―,2425,100,3,22,0,,,―
2026-09-24 22:00,2026-09,2,1848,富士ピー・エス,0,,,―,―,―,―,861,100,3,8,12,,,―
2026-09-24 22:00,2026-09,2,1867,植木組,0,,,―,―,―,―,2704,100,3,24,0.0,,,―
2026-09-24 22:00,2026-09,2,1879,新日本建設,0,7600,0,×,―,―,―,2299,300,3,62,0,0,100,×
2026-09-24 22:00,2026-09,2,1904,大成温調,,,,―,―,―,―,5130,300,3,139,250.0,,,―
2026-09-24 22:00,2026-09,2,1952,新日本空調,2900,61400,1600,▲,▲,◎,―,3230,300,3,88,2.0,,,▲
2026-09-24 22:00,2026-09,2,2053,中部飼料,53000,35100,47500,◎,◎,―,―,2022,500,3,91,4.0,48000,8200,◎
2026-09-24 22:00,2026-09,2,2114,フジ日本,,,,―,―,―,―,673,100,3,6,29.0,,,―
2026-09-24 22:00,2026-09,2,2120,ＬＩＦＵＬＬ,77200,,,×,―,―,―,240,4000,3,87,0.0,,,×
2026-09-24 22:00,2026-09,2,2122,インタースペース,,,,―,―,―,―,1451,400,3,52,0,,,―
2026-09-24 22:00,2026-09,2,2185,シイエム・シイ,,,,―,―,―,―,2013,100,3,18,0,,,―
2026-09-24 22:00,2026-09,2,2201,森永製菓,9300,228600,800,▲,―,◎,―,2469,100,3,22,0.0,,,▲
2026-09-24 22:00,2026-09,2,2207,ｍｅｉｔｏ,0,,0,×,―,―,―,3415,100,3,31,18,0,100,×
2026-09-24 22:00,2026-09,2,2208,ブルボン,,,,―,―,―,―,3160,100,3,29,0,,,―
2026-09-24 22:00,2026-09,2,2209,井村屋グループ,0,900,0,▲,―,―,―,2355,100,3,21,0,500,0,▲
2026-09-24 22:00,2026-09,2,2220,亀田製菓,7000,19100,1800,◎,―,◎,―,1303,100,3,12,3.0,1800,4900,◎
2026-09-24 22:00,2026-09,2,2221,岩塚製菓,,,,―,―,―,―,3060,200,3,55,0,,,―
2026-09-24 22:00,2026-09,2,2226,湖池屋,,,,―,―,―,―,4870,100,3,44,1.0,,,―
2026-09-24 22:00,2026-09,2,2264,森永乳業,17700,1315300,7500,×,×,◎,―,1130,200,3,20,6.0,7500,9900,×
2026-09-24 22:00,2026-09,2,2267,ヤクルト本社,2100,615600,0,▲,―,◎,―,2803,100,3,25,5.0,,,▲
2026-09-24 22:00,2026-09,2,2281,プリマハム,41900,40100,0,×,◎,―,―,2389,200,3,43,6.0,2100,27000,×
