取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-21 06:09,2026-11,43,1419,タマホーム,0,,0,×,0,―,―,2907,100,65,569,3.0,0,,×
2026-09-21 06:09,2026-11,43,1430,ファーストコーポレーション,0,,,―,―,―,―,1066,100,65,209,2.0,,,―
2026-09-21 06:09,2026-11,43,2678,アスクル,0,,2300,×,0,―,―,1243,100,58,217,3.0,2300,,×
2026-09-21 06:09,2026-11,43,2734,サーラコーポレーション,2000,117700,,4万,0,―,―,1241,500,65,1216,2.0,,0,4万
2026-09-21 06:09,2026-11,43,2769,ヴィレッジヴァンガードコーポレーション,,,,―,―,―,―,925,100,65,181,0.0,,,―
2026-09-21 06:09,2026-11,43,2796,ファーマライズホールディングス,0,,,―,―,―,―,499,100,65,98,14.0,,,―
2026-09-21 06:09,2026-11,43,2809,キユーピー,1900,521000,0,◎,―,◎,―,4440,100,65,870,5.0,,,◎
2026-09-21 06:09,2026-11,43,2934,ジェイフロンティア,,,,―,―,―,―,2039,700,65,2796,0.0,,,―
2026-09-21 06:09,2026-11,43,3077,ホリイフードサービス,,,,―,―,―,―,1349,500,65,1321,0.0,,,―
2026-09-21 06:09,2026-11,43,3139,ラクト・ジャパン,0,,0,―,―,―,―,3455,100,65,677,5.0,,,―
2026-09-21 06:09,2026-11,43,3160,大光,0,,,×,―,―,―,582,500,65,570,34.0,,,×
2026-09-21 06:09,2026-11,43,3377,バイク王＆カンパニー,,,,―,―,―,―,388,100,65,76,2.0,,,―
2026-09-21 06:09,2026-11,43,3454,ファーストブラザーズ,0,,,―,―,―,―,1253,3000,65,7364,14.0,,,―
2026-09-21 06:09,2026-11,43,3472,日本ホテル＆レジデンシャル投資法人,3,,,88,0,―,―,66900,1,65,131,0.0,,0,88
2026-09-21 06:09,2026-11,43,3547,ユニシアホールディングス,0,,,×,―,―,―,1947,100,65,381,69.0,,0,×
2026-09-21 06:09,2026-11,43,3994,マネーフォワード,0,300,0,―,―,―,―,5901,100,65,1156,1.0,,,―
2026-09-21 06:09,2026-11,43,4016,ＭＩＴホールディングス,,,,―,―,―,―,1083,300,65,636,0.0,,,―
2026-09-21 06:09,2026-11,43,4197,アスマーク,,,,―,―,―,―,2375,100,65,465,0.0,,,―
2026-09-21 06:09,2026-11,43,4394,エクスモーション,,,,―,―,―,―,685,100,65,134,0.0,,,―
2026-09-21 06:09,2026-11,43,4465,ニイタカ,0,,,×,―,―,―,2435,100,65,477,125.0,,,×
2026-09-21 06:09,2026-11,43,4577,ダイト,0,41200,2500,2900,20000,―,▲,1333,100,65,261,4.0,2500,,2900
2026-09-21 06:09,2026-11,43,4616,川上塗料,,,,―,―,―,―,2471,100,65,484,0.0,,,―
2026-09-21 06:09,2026-11,43,4825,ウェザーニューズ,0,19100,0,―,―,―,―,2029,100,65,397,28.0,,,―
2026-09-21 06:09,2026-11,43,5243,ｎｏｔｅ,,,,―,―,―,―,3135,100,65,614,0.0,,,―
2026-09-21 06:09,2026-11,43,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,,,,―,―,―,―,0,100,65,,0.0,,,―
2026-09-21 06:09,2026-11,43,5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅ,,,,―,―,―,―,742,300,65,436,0.0,,,―
2026-09-21 06:09,2026-11,43,6634,ネクスグループ,,,,―,―,―,―,0,100,65,,0.0,,,―
2026-09-21 06:09,2026-11,43,7074,トゥエンティーフォーセブンホールディング,,,,―,―,―,―,184,1000,65,360,0.0,,,―
2026-09-21 06:09,2026-11,43,7083,ＡＨＣグループ,,,,―,―,―,―,1170,300,65,688,0.0,,,―
2026-09-21 06:09,2026-11,43,7388,ＦＰパートナー,,,0,―,―,―,―,2360,100,65,462,125.0,,,―
2026-09-21 06:09,2026-11,43,7501,ティムコ,,,,―,―,―,―,0,100,65,,0.0,,,―
2026-09-21 06:09,2026-11,43,7725,インターアクション,0,500,0,―,―,―,―,1779,1000,65,3485,2.0,,,―
2026-09-21 06:09,2026-11,43,7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,0,1500,0,―,―,◎,―,4165,100,65,816,3.0,,,―
2026-09-21 06:09,2026-11,43,7965,象印マホービン,2000,32800,15000,2000,0,◎,▲,1458,100,58,255,8.0,15000,,2000
2026-09-21 06:09,2026-11,43,7997,くろがね工作所,,,,―,―,―,―,1085,100,65,213,0.0,,,―
2026-09-21 06:09,2026-11,43,8095,アステナホールディングス,0,5100,0,―,―,―,▲,524,500,65,513,2.0,,,―
2026-09-21 06:09,2026-11,43,8887,シーラホールディングス,,,,―,―,―,▲,358,200,65,140,3.0,,,―
2026-09-21 06:09,2026-11,43,8923,トーセイ,1000,255700,0,2.9万,100,◎,▲,1724,200,65,675,10.0,0,,2.9万
2026-09-21 06:09,2026-11,43,9215,ＣａＳｙ,,,,―,―,―,―,992,100,65,194,0.0,,,―
2026-09-21 06:09,2026-11,43,9369,キユーソー流通システム,0,,,―,―,―,―,2971,200,65,1164,4.0,,,―
2026-09-21 06:09,2026-11,43,9720,ホテル、ニューグランド,,,,―,―,―,―,0,100,65,,0.0,,,―
2026-09-21 06:09,2026-11,43,9765,オオバ,0,,,―,―,―,―,1193,2500,65,5842,36.0,,,―
2026-09-21 06:09,2026-11,43,9872,北恵,0,,,×,―,―,―,950,100,58,166,30.0,,,×
