監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1444,ニッソウ,【300株】クオカード1000円 及び プレミアム優待クラブ18000P,10800,82.0,1.32,,,,2027-07
False,,2217,モロゾフ,"【100株】自社商品1,000円相当【注：継続保有制限】",500,15.0,0.34,,,注意喚起:注意喚起 / max逆日歩:6.0,2027-07
False,,2353,日本駐車場開発,【500株】リフト等利用割引券3枚など（電子チケット）,600,13,0.44,1000,,max逆日歩:1.0,2027-07
False,,2424,ブラス,【200株】自社ギフト2000円相当【注：継続保有制限】,800,12.0,0.65,,,,2027-07
False,,2590,ダイドーグループホールディングス,【200株】【1回限定】記念品【注：継続保有制限】,,60.0,0.0,,,max逆日歩:10,2027-07
False,,3070,アマガサ,"【100株】ECサイト ポイント10,000円相当",10000,,0.0,,,,2027-07
False,,3159,丸善ＣＨＩホールディングス,【100株】買物券 500円相当,500,4,1.4,,,max逆日歩:18,2027-07
False,,3172,ティーライフ,【100株】買物券 1000円相当,1000,12,0.9,,,max逆日歩:58.0,2027-07
False,,3193,エターナルホスピタリティグループ,【100株】食事優待券 1000円相当,1000,30,0.3,,,max逆日歩:66.0,2027-07
False,,3399,丸千代山岡家,【100株】ラーメン無料券2枚,1600,38.0,0.42,,,max逆日歩:43.0,2027-07
False,,3418,バルニバービ,"【100株】電子チケット3,000円",3000,10.0,2.86,,,,2027-07
False,,3421,稲葉製作所,【100株】図書カード 1000円相当,1000,18,0.6,,,,2027-07
False,,3455,ヘルスケア＆メディカル投資法人,【1口】体験入居無料,,10.0,0.0,,,max逆日歩:465,2027-07
False,,3463,いちごホテルリート投資法人,【1株】提携ホテル優待,,11.0,0.0,,,,2027-07
False,,3539,ＪＭホールディングス,"【100株】グループ商品券 1,000円分（500円×2枚） 【注：継続保有制限】",1000,14.0,0.71,,,max逆日歩:4.0,2027-07
False,,3662,エイチームホールディングス,【500株】クオカード10000円相当,1,50,2.0,,,max逆日歩:62.0,2027-07
False,,3665,エニグモ,【200株】株主優待クーポン2000円相当【注：継続保有制限】,2000,8.0,2.41,,,注意喚起:注意喚起 / max逆日歩:0.0,2027-07
False,,3930,はてな,"【300株】【2026記念】デジタルギフト®25,000円分",24250,23.0,10.51,,,,2027-07
False,,3931,バリューゴルフ,【200株】デジタルギフト10000円,9700,,0.0,,,,2027-07
False,,4014,カラダノート,"【1000株】デジタルギフト（基準日あたり15,000千円をシェア）",,45.0,0.0,,,,2027-07
False,,4934,プレミアアンチエイジング,"【100株】プレミアアンチエイジング公式通販サイト4,200ポイント",1680,6.0,2.84,,,注意喚起:申込停止 / max逆日歩:0.0,2027-07
False,,4936,アクシージア,【200株】オンラインショップ優待券6000円相当,6000,7,8.6,,,max逆日歩:19.0,2027-07
False,,5248,テクノロジーズ,"【1000株】選べるe-GIFT 25,000円相当【注：継続保有制限】",23750,52.0,4.59,,,,2027-07
False,,6040,日本スキー場開発,【100株】スキー場リフト利用割引券7枚など,3500,5.0,7.53,,,,2027-07
False,,6577,ベストワンドットコム,【100株】株主優待割引券10000円分,900,14.0,0.66,,,,2027-07
False,,6654,不二電機工業,【300株】クオカード 500円相当,500,33,0.2,,,max逆日歩:58.0,2027-07
False,,6721,ウインテスト,【1000株】株主優待クーポン（10%割引）【注：継続保有制限】,,,0.0,,,,2027-07
False,,7073,ジェイック,【100株】クオカード2000円相当,1900,23.0,0.83,,,,2027-07
False,,7097,さくらさくプラス,【200株】クオカード10000円相当,9500,55.0,1.73,,,,2027-07
False,,7126,グローバルスタイル,【200株】株主ご優待券 10000円分,3000,29,1.03,,,,2027-07
False,,7196,Ｃａｓａ,【100株】クオカード 1000円相当,1000,8,1.3,,,,2027-07
False,,7590,タカショー,カレンダ,,4,,,,,2027-07
False,,7614,オーエムツーネットワーク,【100株】アウトバックステーキハウス食事券3000円相当,1800,77.0,0.23,,,,2027-07
False,,7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,【100株】お食事券10000円,5600,27.0,2.04,,,,2027-07
False,,7678,あさくま,【100株】【2026増額】食事券4000円相当などから抽選,1400,38.0,0.36,,,max逆日歩:307.0,2027-07
False,,7682,浜木綿,【100株】株主優待券4000円相当,2400,,0.0,,,,2027-07
False,,7683,ダブルエー,【100株】ORientalTRafficONLINE STORE商品無料券【注：継続保有制限】,3800,14.0,2.7,,,,2027-07
False,,7810,クロスフォー,"【1000株】当社製品「Dancing Free」１点（10,000円相当）",4000,15.0,2.65,,,注意喚起:申込停止 / max逆日歩:24,2027-07
False,,7850,総合商研,【1000株】自社グループ商品など3000円相当,1200,,0.0,,,,2027-07
False,,9166,ＧＥＮＤＡ,【100株】クーポン券3000円分【注：継続保有制限】,3000,7.0,4.35,,,,2027-07
False,,9235,売れるネット広告社グループ,"【200株】デジタルギフト1,000円相当【注：継続保有制限】",970,8.0,1.2,,,,2027-07
False,,9242,メディア総研,【200株】プレミアム優待クラブ3000ポイント,1800,,0.0,,,,2027-07
False,,9262,シルバーライフ,【200株】ライフミール商品券 500 円券×10枚,500,14.0,0.37,,,max逆日歩:2.0,2027-07
False,,9636,きんえい,【75株】映画株主優待カード 6枚,1800,32.0,0.57,,,,2027-07
