監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1431,Ｌｉｂ　Ｗｏｒｋ,【1000株】プレミアム優待クラブ 5000ポイント,3000,66.0,0.46,,,注意喚起:注意喚起 / max逆日歩:90.0,2026-12
False,,1435,robot home,記念デジ,1,19,5.3,0,,,2026-12
False,,1605,ＩＮＰＥＸ,【400株】クオカード1000円相当【注：継続保有制限】,950,157.0,0.06,,,max逆日歩:4.0,2026-12
False,,1663,Ｋ＆Ｏエナジーグループ,【100株】選べる電子ギフト500円【注：継続保有制限】,485,19.0,0.25,,,,2026-12
False,,1899,福田組,【200株】クオカード 2000円相当,2000,161,0.1,9400,,max逆日歩:40.0,2026-12
False,,2009,鳥越製粉,【500株】特製そうめん 4000円相当,4000,58,0.7,,,,2026-12
False,,2170,リンクアンドモチベーション,【1000株】デジタルギフト2750円分【注：継続保有制限】,2668,69,0.39,,,max逆日歩:2,2026-12
False,,2173,博展,【100株】JCBギフトカード1000円【注：継続保有制限】,970,7.0,1.32,,,,2026-12
False,,2211,不二家,【100株】買物券 3000円相当,3000,26,1.1,0,,max逆日歩:35,2026-12
False,,2212,山崎製パン,【1000株】菓子・デザート等 3000円相当,3000,339,0.1,15000,,max逆日歩:4.0,2026-12
False,,2215,第一屋製パン,【100株】焼き菓子の詰め合わせ,500,7,0.81,,,注意喚起:申込停止,2026-12
False,,2216,カンロ,【300株】カンロ飴・のど飴など1000円相当,500,33.0,0.15,,,max逆日歩:68,2026-12
False,,2266,六甲バター,"【1000株】チーズなど自社製品3,000円相当",3000,124,0.2,4500,,max逆日歩:4.0,2026-12
False,,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,【100株】eGift 1200円相当,900,40.0,0.22,,,,2026-12
False,,2311,エプコ,【100株】【抽選】太陽光発電システムなど,,,0.0,,,,2026-12
False,,2325,ＮＪＳ,【300株】プレミアム優待クラブ5000ポイント,5000,156,0.3,0,,max逆日歩:14.0,2026-12
False,,2330,フォーサイド,【100株】モビぶっく株主優待ポイント500円相当,50,1.0,0.54,,,,2026-12
False,,2418,ツカダ・グローバルホールディング,【100株】株主優待券 2枚,10,6.0,0.02,,,max逆日歩:0.0,2026-12
