取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-18 06:54,2027-03,125,1301,極洋,0,14000,0,×,100,―,×,4740,100,189,2700,16.0,0,,×
2026-09-18 06:54,2027-03,125,1332,ニッスイ,900,35900,8900,▲,0,◎,×,1205,500,189,3432,2.0,8900,,▲
2026-09-18 06:54,2027-03,125,1333,マルハニチロ,1000,703700,0,×,400,◎,×,1306,100,189,744,6.0,0,,×
2026-09-18 06:54,2027-03,125,1375,ユキグニファクトリー,0,,9900,―,―,―,―,1178,100,189,671,0,,,―
2026-09-18 06:54,2027-03,125,1379,ホクト,0,29800,15000,◎,500,◎,―,2138,100,189,1218,3.0,,,◎
2026-09-18 06:54,2027-03,125,1380,秋川牧園,,,,―,―,―,―,0,500,189,,0,,,―
2026-09-18 06:54,2027-03,125,1384,ホクリヨウ,0,,,―,―,―,×,2165,100,189,1233,0,,,―
2026-09-18 06:54,2027-03,125,1417,ミライト・ワン,1000,577100,13800,―,―,◎,―,3617,100,189,2060,0,,,―
2026-09-18 06:54,2027-03,125,1420,サンヨーホームズ,0,,,―,―,―,―,633,100,189,361,19.0,,,―
2026-09-18 06:54,2027-03,125,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,658,1000,189,3748,90.0,,,―
2026-09-18 06:54,2027-03,125,1446,キャンディル,,,,―,―,―,―,539,200,189,614,10.0,,,―
2026-09-18 06:54,2027-03,125,1515,日鉄鉱業,0,,5400,×,1400,◎,―,3275,100,189,1865,10.0,5400,0,×
2026-09-18 06:54,2027-03,125,1518,三井松島,900,20900,400,×,―,◎,―,2285,500,189,6508,0,,,×
2026-09-18 06:54,2027-03,125,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,500,189,701,0,,,―
2026-09-18 06:54,2027-03,125,1738,ＮＩＴＴＯＨ,,,,―,―,―,―,0,1000,189,,0,,,―
2026-09-18 06:54,2027-03,125,1762,高松コンストラクショングループ,0,72600,5400,―,―,◎,―,4280,100,189,2438,8.0,,,―
2026-09-18 06:54,2027-03,125,1780,ヤマウラ,0,,,×,0,―,―,1496,100,189,852,3.0,,0,×
2026-09-18 06:54,2027-03,125,1793,大本組,,,,―,―,―,―,2115,100,189,1205,0,,,―
2026-09-18 06:54,2027-03,125,1795,マサル,,,,―,―,―,―,5800,600,189,19822,0,,,―
2026-09-18 06:54,2027-03,125,1801,大成建設,900,22400,21000,×,1300,◎,―,12730,100,189,7251,4.0,21000,,×
2026-09-18 06:54,2027-03,125,1803,清水建設,1900,76100,40300,―,―,◎,―,2413,1000,189,13744,2.0,,,―
2026-09-18 06:54,2027-03,125,1808,長谷工コーポレーション,1000,24900,400,▲,―,◎,―,2786,100,189,1587,0,,,▲
2026-09-18 06:54,2027-03,125,1822,大豊建設,36600,1600,0,▲,0,―,―,845,100,189,481,36.0,,,▲
2026-09-18 06:54,2027-03,125,1828,田辺工業,,,,―,―,―,―,2460,100,189,1401,0,,,―
