監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1431,Ｌｉｂ　Ｗｏｒｋ,【100株】クオカード1000円相当,,6.0,1.46,,,注意喚起:注意喚起 / max逆日歩:90.0,2026-09
False,,1438,岐阜造園,【200株】クオカード1000円相当,,46.08,,,,,2026-09
False,,160A,アズパートナーズ,【100株】介護付きホーム管理費２ヶ月分割引など,,19.0,,,,,2026-09
False,,1711,ＳＤＳホールディングス,"【3000株】デジタルギフト10,000円相当【注：継続保有制限】",,74.0,1.31,,,,2026-09
False,,1783,ｆａｎｔａｓｉｓｔａ,【1000株】デジタルギフト1000円相当など,,6.8,,,,,2026-09
False,,1795,マサル,【200株】宝くじ 10枚,,116.0,0.1,,,,2026-09
False,,1822,大豊建設,QUO,500.0,8.0,0.58,,,max逆日歩:36.0,2026-09
False,,1828,田辺工業,【100株】クオカード 500円相当,,24.0,0.2,,,,2026-09
False,,1848,富士ピー・エス,【100株】クオカード 500円相当,,8.0,0.63,,,max逆日歩:12,2026-09
False,,1867,植木組,【100株】クオカード 500円相当,,27.0,0.18,,,注意喚起:注意喚起 / max逆日歩:0.0,2026-09
False,,1879,新日本建設,QUO,1.0,67.0,1.42,,,,2026-09
False,,1904,大成温調,【300株】【2027分割変更】クオカード4000円相当,,153.0,0.25,,,max逆日歩:250.0,2026-09
False,,1952,新日本空調,【300株】クオカード2000円相当【注：継続保有制限】,,94.0,0.2,,,max逆日歩:2.0,2026-09
False,,195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,"【300株】自社グループの人気商品詰め合わせ7,000円相当",,20.0,1.78,,,,2026-09
False,,2053,中部飼料,米3kg,,101.0,0.09,1000.0,,max逆日歩:4.0,2026-09
False,,2114,フジ日本,【100株】クオカード500円,,7.0,0.7,,,max逆日歩:29.0,2026-09
False,,2120,ＬＩＦＵＬＬ,【4000株】電子マネー15000円 及び 自社サービス特典【注：継続保有制限】,,91.0,1.6,,,max逆日歩:0.0,2026-09
False,,2122,インタースペース,"【400株】VJAギフトカード 10,000円分",,58.0,1.67,,,,2026-09
False,,2185,シイエム・シイ,【100株】カタログギフト3000円相当【注：継続保有制限】,,19.0,0.93,,,,2026-09
False,,2201,森永製菓,【100株】自社商品1500円相当【注：継続保有制限】,,24.0,0.31,,,max逆日歩:0.0,2026-09
False,,2207,ｍｅｉｔｏ,自Ｇ製品,2000.0,34.0,0.29,,,max逆日歩:18,2026-09
False,,2208,ブルボン,【100株】菓子・飲料等詰め合わせ1000円相当【注：継続保有制限】,,31.0,0.16,,,,2026-09
False,,2209,井村屋,自社商品,750.0,24.0,0.13,,,注意喚起:申込停止,2026-09
False,,2220,亀田製菓,クーポン,500.0,13.0,0.19,,,max逆日歩:3.0,2026-09
False,,2221,岩塚製菓,【200株】米菓などお菓子 1000円相当,,61.0,0.07,,,,2026-09
False,,2226,湖池屋,【100株】スナック菓子など2500円相当,,49.0,0.25,,,max逆日歩:1.0,2026-09
False,,2264,森永乳業,自社商品,1500.0,22.0,0.34,,,max逆日歩:6.0,2026-09
False,,2267,ヤクルト本社,【100株】「ライト会員」入会権,,28.0,,,,max逆日歩:5.0,2026-09
False,,2281,プリマハム,自社製品,3000.0,48.0,0.31,200.0,,max逆日歩:6.0,2026-09
False,,2282,日本ハム,自Ｇ製品,3000.0,312.0,0.1,1000.0,,max逆日歩:13.0,2026-09
False,,2288,丸大食品,自社製品,3000.0,45.0,0.33,200.0,,max逆日歩:15.0,2026-09
False,,2307,クロスＣ,QUO,500.0,21.0,0.23,,,,2026-09
False,,2335,キューブＳ,Ｊギフカ,1000.0,22.0,0.44,,,注意喚起:注意喚起 / max逆日歩:18.0,2026-09
False,,2340,極楽湯ホールディングス,【100株】無料入浴券 4枚【注：継続保有制限】,,5.0,3.84,,,,2026-09
False,,2378,ルネサンス,優待券,,10.0,1.73,,,注意喚起:申込停止 / max逆日歩:48,2026-09
False,,2432,Ｄ・Ｎ・Ａ,ﾁｹｯﾄ等,,25.0,0.08,300.0,,,2026-09
