取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-26 16:17,2026-09,1,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,648,100,2,4,90.0,,,―
2026-09-26 16:17,2026-09,1,1438,岐阜造園,,,,―,―,―,―,2304,200,2,28,0,,,―
2026-09-26 16:17,2026-09,1,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,3000,2,44,0,,,―
2026-09-26 16:17,2026-09,1,1770,藤田エンジニアリング,,,,―,―,―,―,2363,100,2,14,0,,,―
2026-09-26 16:17,2026-09,1,1783,ｆａｎｔａｓｉｓｔａ,,,0,―,―,―,―,68,1000,2,4,0,,,―
2026-09-26 16:17,2026-09,1,1795,マサル,,,,―,―,―,―,5590,200,2,67,0,,,―
2026-09-26 16:17,2026-09,1,1822,大豊建設,40000,0,0,×,―,―,―,851,100,2,5,36.0,0,13000,×
2026-09-26 16:17,2026-09,1,1828,田辺工業,,,,―,―,―,―,2426,100,2,15,0,,,―
2026-09-26 16:17,2026-09,1,1848,富士ピー・エス,0,,,―,―,―,―,872,100,2,5,12,,,―
2026-09-26 16:17,2026-09,1,1867,植木組,0,,,―,―,―,―,2732,100,2,16,0.0,,,―
2026-09-26 16:17,2026-09,1,1879,新日本建設,0,0,0,×,―,―,―,2338,300,2,42,0,0,1900,×
2026-09-26 16:17,2026-09,1,1904,大成温調,,,,―,―,―,―,5160,300,2,93,250.0,,,―
2026-09-26 16:17,2026-09,1,1952,新日本空調,6700,57600,1500,▲,▲,◎,―,3230,300,2,58,2.0,,,▲
2026-09-26 16:17,2026-09,1,2053,中部飼料,96400,0,45900,▲,×,―,―,2059,500,2,62,4.0,46000,8900,▲
2026-09-26 16:17,2026-09,1,2114,フジ日本,,,,―,―,―,―,673,100,2,4,29.0,,,―
2026-09-26 16:17,2026-09,1,2120,ＬＩＦＵＬＬ,212000,,,×,―,―,―,239,4000,2,58,0.0,,,×
2026-09-26 16:17,2026-09,1,2122,インタースペース,,,,―,―,―,―,1451,400,2,35,0,,,―
2026-09-26 16:17,2026-09,1,2185,シイエム・シイ,,,,―,―,―,―,2005,100,2,12,0,,,―
2026-09-26 16:17,2026-09,1,2201,森永製菓,8200,194900,1000,▲,―,◎,―,2474,100,2,15,0.0,,,▲
2026-09-26 16:17,2026-09,1,2207,名糖産業,0,,0,×,―,―,―,3390,100,2,20,18,0,900,×
2026-09-26 16:17,2026-09,1,2208,ブルボン,,,,―,―,―,―,3170,100,2,19,0,,,―
2026-09-26 16:17,2026-09,1,2209,井村屋グループ,0,0,0,×,―,―,―,2356,100,2,14,0,0,0,×
2026-09-26 16:17,2026-09,1,2220,亀田製菓,16600,5700,0,×,―,◎,―,1326,100,2,8,3.0,1500,5100,×
2026-09-26 16:17,2026-09,1,2221,岩塚製菓,,,,―,―,―,―,3050,200,2,37,0,,,―
2026-09-26 16:17,2026-09,1,2226,湖池屋,,,,―,―,―,―,4860,100,2,29,1.0,,,―
2026-09-26 16:17,2026-09,1,2264,森永乳業,7100,1209500,0,×,×,◎,―,1130,200,2,14,6.0,3200,10000,×
2026-09-26 16:17,2026-09,1,2267,ヤクルト本社,10400,611100,0,▲,―,◎,―,2810,100,2,17,5.0,,,▲
2026-09-26 16:17,2026-09,1,2281,プリマハム,209100,0,0,×,◎,―,―,2415,200,2,29,6.0,4200,16000,×
2026-09-26 16:17,2026-09,1,2282,日本ハム,3100,490400,4000,▲,▲,◎,―,6044,300,2,109,13.0,4000,5400,▲
2026-09-26 16:17,2026-09,1,2288,丸大食品,0,,0,×,×,―,―,2286,200,2,28,15.0,2200,15000,×
2026-09-26 16:17,2026-09,1,2307,クロスキャット,0,,0,×,―,―,―,1070,200,2,13,0,3600,2000,×
2026-09-26 16:17,2026-09,1,2335,キューブシステム,0,,0,×,―,―,―,1096,200,2,13,18.0,0,600,×
2026-09-26 16:17,2026-09,1,2340,極楽湯ホールディングス,,,,―,―,―,―,540,100,2,3,0,,,―
2026-09-26 16:17,2026-09,1,2378,ルネサンス,0,,,×,―,―,―,1046,100,2,6,48,,0,×
2026-09-26 16:17,2026-09,1,2432,ディー・エヌ・エー,7000,42700,2900,▲,▲,◎,―,2546,100,2,15,0,2900,8200,▲
2026-09-26 16:17,2026-09,1,2454,オールアバウト,,,,―,―,―,―,344,300,2,6,0,,,―
2026-09-26 16:17,2026-09,1,2464,Ａｏｂａ－ＢＢＴ,0,,,―,―,―,―,379,100,2,2,0,,,―
2026-09-26 16:17,2026-09,1,2480,システム・ロケーション,,,,―,―,―,―,1867,100,2,11,0,,,―
2026-09-26 16:17,2026-09,1,2497,ユナイテッド,,,,―,―,―,―,527,1000,2,32,12,,,―
2026-09-26 16:17,2026-09,1,2551,マルサンアイ,,,,―,―,―,―,3620,100,357,3895,0,,,―
2026-09-26 16:17,2026-09,1,2586,フルッタフルッタ,,,,―,―,―,―,62,100,2,0,0,,,―
2026-09-26 16:17,2026-09,1,2594,キーコーヒー,0,,0,×,―,―,―,1988,100,2,12,17.0,0,0,×
2026-09-26 16:17,2026-09,1,2652,まんだらけ,,,,―,―,―,―,420,100,2,3,16.0,,,―
2026-09-26 16:17,2026-09,1,2654,アスモ,,,,―,―,―,―,429,300,2,8,0,,,―
2026-09-26 16:17,2026-09,1,2694,焼肉坂井ホールディングス,,,,―,―,―,―,72,100,2,0,8,,,―
2026-09-26 16:17,2026-09,1,2705,大戸屋ホールディングス,,,,―,―,―,―,8880,100,2,54,2.0,,,―
2026-09-26 16:17,2026-09,1,2733,あらた,28200,43800,0,×,×,◎,―,2720,100,2,16,7.0,7300,8900,×
2026-09-26 16:17,2026-09,1,2737,トーメンデバイス,1900,,,×,―,―,―,43700,100,2,263,0,,,×
2026-09-26 16:17,2026-09,1,2749,ＪＰホールディングス,0,,0,×,―,―,―,645,500,2,19,2.0,,,×
2026-09-26 16:17,2026-09,1,2750,石光商事,,,,―,―,―,―,1373,300,2,25,4.0,,,―
