監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1301,極洋,【100株】2500円相当の自社製品,2500,52,0.5,100,,max逆日歩:16.0,2027-03
False,,1332,ニッスイ,【500株】缶詰など 3000円相当,3000,69,0.4,0,,max逆日歩:2.0,2027-03
False,,1333,Ｕｍｉｏｓ,【100株】【2028まで】Umiosオリジナルギフトカード 500円分,500,15,0.3,400,,max逆日歩:6.0,2027-03
False,,1375,ユキグニファクトリー,【100株】自社商品3000円相当【注：継続保有制限】,1500,12.0,1.28,,,,2027-03
False,,1379,ホクト,【100株】レトルトカレーなど 1000円相当,500,20,0.24,500,,max逆日歩:3.0,2027-03
False,,1380,秋川牧園,【500株】自社食品1500円相当,750,50.0,0.15,,,,2027-03
False,,1384,ホクリヨウ,【100株】たまごギフト券 500円相当,100,21.0,0.05,,,,2027-03
False,,1417,ミライト・ワン,"【100株】電子マネー等1,000円 もしくは （抽選）ミライト米1kg【注：継続保有制限】",950,36.0,0.27,,,,2027-03
False,,1420,サンヨーホームズ,【100株】クオカード 1000円相当,950,6.0,1.51,,,max逆日歩:19.0,2027-03
False,,1431,Ｌｉｂ　Ｗｏｒｋ,【1000株】プレミアム優待クラブ 5000ポイント,3000,66.0,0.46,,,注意喚起:注意喚起 / max逆日歩:90.0,2027-03
False,,1446,キャンディル,【200株】クオカード3000円相当,2850,11.0,2.64,,,max逆日歩:10.0,2027-03
False,,1515,日鉄鉱業,【100株】ミネラルウォーター「仙人秘水」 1.1L×12本,500,27,0.15,1400,,max逆日歩:10.0,2027-03
False,,1518,三井松島ホールディングス,【500株】レストランご優待券3000円2枚など,100,70,0.01,,,,2027-03
False,,1711,ＳＤＳホールディングス,【500株】デジタルギフト5000円相当,9700,12.0,7.89,,,,2027-03
False,,1738,ＮＩＴＴＯＨ,【1000株】全国共通おこめギフト券 （５kg分）,,58.0,0.0,,,,2027-03
False,,1762,高松コンストラクショングループ,【100株】魚沼産コシヒカリ5kg【注：継続保有制限】,1000,42.0,0.24,,,max逆日歩:8.0,2027-03
False,,1780,ヤマウラ,【100株】自社商品 3000円相当,3000,17,1.8,0,,max逆日歩:3.0,2027-03
False,,1793,大本組,【100株】プレミアム優待クラブ3000ポイント,1800,21.0,0.85,,,,2027-03
False,,1795,マサル,【600株】宝くじ 10枚,1200,344.0,0.03,,,,2027-03
False,,1801,大成建設,【100株】ゴルフ優待クーポン,,166,0.0,1300,,max逆日歩:4.0,2027-03
False,,1803,清水建設,【1000株】木工製品 1000円相当,400,235.0,0.02,,,max逆日歩:2.0,2027-03
False,,1808,長谷工コーポレーション,【100株】サービス利用券,10,27.0,0.0,,,,2027-03
False,,1822,大豊建設,【100株】クオカード500円相当,500,8,0.6,0,,注意喚起:注意喚起 / max逆日歩:36.0,2027-03
False,,1828,田辺工業,【100株】クオカード 500円相当,475,24.0,0.2,,,,2027-03
False,,1860,戸田建設,【1000株】宿泊割引券30%,5,151.0,0.0,,,,2027-03
False,,1904,大成温調,【1200株】クオカード4000円相当,3800,616.0,0.06,,,注意喚起:注意喚起 / max逆日歩:250.0,2027-03
False,,1925,大和ハウス工業,"【100株】グループ会社共通ご利用券2,000円",2000,51,0.4,200,,max逆日歩:4.0,2027-03
False,,1952,新日本空調,【300株】カタログギフト3000円相当,3000,106,0.3,400,,max逆日歩:2.0,2027-03
False,,1965,テクノ菱和,【100株】静岡の新茶1パック,400,72.0,0.06,,,max逆日歩:2.0,2027-03
False,,1967,ヤマト,【100株】地元特産品3000円相当 もしくは 赤城の湯入浴券5枚【注：継続保有制限】,1200,21.0,0.56,,,max逆日歩:5.0,2027-03
False,,1976,明星工業,【200株】ギフトカード 1000円相当,1000,37,0.3,100,,max逆日歩:6.0,2027-03
False,,1992,神田通信機,【100株】クオカード 1000円相当,950,30.0,0.32,,,,2027-03
False,,2001,ニップン,"【100株】食材など1,000円相当【注：継続保有制限】",1500,55,0.3,0,,max逆日歩:2.0,2027-03
False,,2002,日清製粉グループ本社,【500株】自社グループ商品（選択）4000円相当,4000,105,0.4,100,,max逆日歩:2.0,2027-03
False,,2004,昭和産業,【100株】家庭用品 1000円相当,1000,33,0.3,900,,max逆日歩:4.0,2027-03
False,,2053,中部飼料,【500株】クオカード 1000円相当,1000,90,0.1,200,,max逆日歩:4.0,2027-03
False,,2108,日本甜菜製糖,【300株】砂糖3kg 及び どさんこオリゴ,1000,43,0.2,400,,max逆日歩:4.0,2027-03
False,,2109,ＤＭ三井製糖,【100株】砂糖などの自社商品1000円相当,1000,34,0.3,0,,max逆日歩:4.0,2027-03
False,,2112,塩水港精糖,【1000株】オリゴのおかげ等詰合せ3500円相当,1400,46.0,0.3,,,max逆日歩:3.0,2027-03
False,,2117,ウェルネオシュガー,【100株】砂糖 1000円相当,1000,29,0.3,100,,max逆日歩:5.0,2027-03
False,,2120,ＬＩＦＵＬＬ,【4000株】【2027開始】電子マネー15000円 及び 自社サービス特典【注：継続保有制限】,14550,96,1.52,,,max逆日歩:0.0,2027-03
False,,2122,インタースペース,"【400株】VJAギフトカード 10,000円分",9700,58.0,1.67,,,,2027-03
False,,2139,中広,【100株】クオカード 1000円相当【注：継続保有制限】,950,5.0,1.83,,,max逆日歩:8,2027-03
False,,2179,成学社,【100株】クオカード 1000円相当,950,8.0,1.15,,,注意喚起:注意喚起,2027-03
False,,2204,中村屋,【100株】食べ物 2000円相当【注：継続保有制限】,2000,34,0.6,0,,max逆日歩:12.0,2027-03
False,,2207,ｍｅｉｔｏ,【200株】グループ会社商品 3000円相当,3000,58,0.5,0,,注意喚起:注意喚起 / max逆日歩:18,2027-03
False,,2209,井村屋グループ,【100株】和菓子750円相当,500,24,0.2,100,,注意喚起:申込停止,2027-03
False,,2221,岩塚製菓,【100株】米菓などお菓子 1000円相当,400,31.0,0.13,,,,2027-03
False,,2222,寿スピリッツ,"【100株】お菓子など3,000円相当",3000,20,1.5,1400,,max逆日歩:10.0,2027-03
False,,2224,コモ,【100株】パンなど 3000円相当,1500,37.0,0.4,,,,2027-03
False,,2229,カルビー,【100株】【2027より保有制限】自社グループ商品1500円相当,1500,31,0.5,800,,max逆日歩:4.0,2027-03
False,,2264,森永乳業,【200株】「森永絹とうふ」など自社製品1500円相当,750,23.0,0.33,,,max逆日歩:6.0,2027-03
False,,2267,ヤクルト本社,【100株】飲料など 700円相当,350,26,0.12,600,,max逆日歩:5.0,2027-03
False,,2269,明治ホールディングス,【100株】明治グループ製品詰合せ 1500円相当,1500,39,0.4,100,,max逆日歩:2.0,2027-03
False,,2282,日本ハム,【100株】自社商品1000円相当【注：継続保有制限】,1500,69,0.2,2700,,max逆日歩:13.0,2027-03
False,,2293,滝沢ハム,【100株】自社商品(ハム) 2500円相当,1250,27.0,0.47,,,,2027-03
False,,2296,伊藤ハム米久ホールディングス,【200株】精肉品など 5000円相当,5000,121,0.4,1400,,max逆日歩:17.0,2027-03
False,,2307,クロスキャット,【200株】選択式電子ギフト500円相当,485,21.0,0.23,,,,2027-03
False,,2327,日鉄ソリューションズ,【100株】デジタルギフト 1000円相当,1000,37,0.3,,,max逆日歩:2.0,2027-03
False,,2340,極楽湯ホールディングス,【200株】【2023のみ】無料入浴券2枚,1000,11.0,0.92,,,,2027-03
False,,2344,平安レイサービス,【500株】食品 1500円相当,750,,0.0,,,,2027-03
False,,2351,ＡＳＪ,【1株】オンラインゲームチケット,,0.0,0.0,,,,2027-03
False,,2359,コア,【200株】東京国立博物館パスなど,3000,46,0.71,0,,max逆日歩:7,2027-03
False,,2376,サイネックス,【500株】クオカード2000円相当【注：継続保有制限】,1900,40.0,0.47,,,,2027-03
False,,2378,ルネサンス,【100株】株主ご優待券2枚,2000,11,1.91,0,,注意喚起:申込停止 / max逆日歩:48,2027-03
False,,2410,キャリアデザインセンター,【1000株】新潟県魚沼産コシヒカリ ５kg,1000,286,0.03,,,注意喚起:注意喚起,2027-03
False,,2425,ケアサービス,【100株】クオカード1000円相当,950,7.0,1.43,,,,2027-03
False,,2454,オールアバウト,【300株】プレミアム優待クラブ 1000ポイント,600,10.0,0.58,,,,2027-03
False,,2464,Ａｏｂａ－ＢＢＴ,【100株】割引券10%,1000,4.0,2.66,,,,2027-03
False,,2469,ヒビノ,【100株】クオカードなどから選択1000円相当,950,28.0,0.35,,,,2027-03
False,,2475,ＷＤＢホールディングス,【100株】【2026記念】クオカード1000円相当,1000,15,0.6,0,,注意喚起:注意喚起 / max逆日歩:6.0,2027-03
False,,2480,システム・ロケーション,【100株】クオカード1000円相当,950,19.0,0.51,,,,2027-03
False,,2497,ユナイテッド,【1000株】プレミアム優待クラブ2500ポイント,1500,52.0,0.29,,,注意喚起:申込停止 / max逆日歩:12,2027-03
False,,2531,宝ホールディングス,【100株】自社商品 1000円相当【注：継続保有制限】,400,26.0,0.15,,,max逆日歩:3.0,2027-03
False,,2551,マルサンアイ,"【100株】自社製品1,500円相当",750,36.0,0.21,,,,2027-03
False,,2586,フルッタフルッタ,【100株】公式ECサイト15%割引,1000,1.0,16.67,,,,2027-03
False,,2588,プレミアムウォーターホールディングス,【100株】プレミアムウォーター バッグインボックスなど,518,37,0.14,,,,2027-03
False,,2594,キーコーヒー,【100株】コーヒーなど 1000円相当,1000,20,0.5,0,,注意喚起:注意喚起 / max逆日歩:17.0,2027-03
False,,2602,日清オイリオグループ,【100株】食用油など 1500円相当,1500,59,0.3,0,,max逆日歩:47.0,2027-03
