取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-20 06:16,2027-08,228,2157,コシダカホールディングス,0,,25400,×,0,―,―,1003,100,339,1025,3.0,20000,0,×
2026-09-20 06:16,2027-08,228,2164,地域新聞社,,,,―,―,―,―,0,100,339,,0.0,,,―
2026-09-20 06:16,2027-08,228,2186,ソーバル,,,,―,―,―,―,0,100,339,,0.0,,,―
2026-09-20 06:16,2027-08,228,2292,エスフーズ,0,1000,5000,×,―,―,―,2744,500,339,14017,6.0,5000,5900,×
2026-09-20 06:16,2027-08,228,2305,スタジオアリス,0,,600,×,―,―,―,1873,100,339,1914,27.0,0,600,×
2026-09-20 06:16,2027-08,228,2379,ディップ,1800,,,×,―,―,―,1848,100,339,1888,8.0,,0,×
2026-09-20 06:16,2027-08,228,2404,鉄人化ホールディングス,,,,―,―,―,―,534,100,339,546,29.0,,,―
2026-09-20 06:16,2027-08,228,2669,カネ美食品,,,,―,―,―,―,3945,100,339,4030,163.0,,,―
2026-09-20 06:16,2027-08,228,2683,ＵＯＧｒｏｕｐ,,,,―,―,―,―,992,100,339,1013,0.0,,,―
2026-09-20 06:16,2027-08,228,2685,アンドエスティＨＤ,1300,3700,10500,×,―,◎,―,3130,100,339,3198,7.0,0,46000,×
2026-09-20 06:16,2027-08,228,2687,シー・ヴイ・エス・ベイエリア,0,,,―,―,―,―,492,100,339,503,2.0,,,―
2026-09-20 06:16,2027-08,228,2698,キャンドゥ,0,,0,×,―,―,―,3250,100,339,3320,2.0,0,0,×
2026-09-20 06:16,2027-08,228,2735,ワッツ,0,,,―,―,―,―,720,200,339,1471,6.0,,,―
2026-09-20 06:16,2027-08,228,2736,フェスタリアホールディングス,,,,―,―,―,―,0,300,339,,0.0,,,―
2026-09-20 06:16,2027-08,228,2798,ワイズテーブルコーポレーション,,,,―,―,―,―,2997,100,339,3062,0.0,,,―
2026-09-20 06:16,2027-08,228,2872,セイヒョー,,,,―,―,―,―,1924,100,339,1966,0.0,,,―
2026-09-20 06:16,2027-08,228,2882,イートアンドホールディングス,0,,,×,―,―,―,2011,100,339,2055,101.0,,200,×
2026-09-20 06:16,2027-08,228,2884,ヨシムラ・フード・ホールディングス,0,,0,―,―,―,―,622,2500,339,15887,19.0,,,―
2026-09-20 06:16,2027-08,228,2901,ウェルディッシュ,,,,―,―,―,―,148,300,339,454,0.0,,,―
2026-09-20 06:16,2027-08,228,2927,ＡＦＣ－ＨＤアムスライフサイエンス,,,,―,―,―,―,854,1000,339,8725,0.0,,,―
2026-09-20 06:16,2027-08,228,2936,ベースフード,,,,―,―,―,―,281,100,339,287,1.0,,,―
2026-09-20 06:16,2027-08,228,2999,ホームポジション,,,,―,―,―,―,507,1000,339,5180,0.0,,,―
2026-09-20 06:16,2027-08,228,3035,ケイティケイ,,,,―,―,―,―,766,600,330,4571,34.0,,,―
2026-09-20 06:16,2027-08,228,3045,カワサキ,,,,―,―,―,―,1470,100,339,1502,0.0,,,―
2026-09-20 06:16,2027-08,228,3046,ジンズホールディングス,1300,,0,×,0,―,▲,5910,100,339,6038,18.0,0,0,×
2026-09-20 06:16,2027-08,228,3048,ビックカメラ,1800,16600,65000,×,10000,―,◎,1723,100,339,1760,8.0,23000,101000,×
2026-09-20 06:16,2027-08,228,3063,ジェイグループホールディングス,,,,―,―,―,―,1180,100,339,1206,43.0,,,―
2026-09-20 06:16,2027-08,228,3065,ライフフーズ,,,,―,―,―,―,0,100,339,,0.0,,,―
2026-09-20 06:16,2027-08,228,3075,銚子丸,,,,―,―,―,―,1729,100,339,1766,0.0,,,―
2026-09-20 06:16,2027-08,228,3083,スターシーズ,,,,―,―,―,―,1190,500,339,6079,0.0,,,―
2026-09-20 06:16,2027-08,228,3086,Ｊ．フロント　リテイリング,600,34100,29100,▲,―,◎,―,2667,100,339,2725,4.0,2400,2700,▲
2026-09-20 06:16,2027-08,228,3168,ＭＥＲＦ,0,,,―,―,―,―,1273,100,339,1301,29.0,,,―
