取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-25 06:56,2027-03,123,1301,極洋,0,14000,12300,5900,100,―,×,4680,100,185,2609,16.0,0,,5900
2026-09-25 06:56,2027-03,123,1332,ニッスイ,700,36200,153300,1.7万,0,◎,×,1157,500,185,3225,2.0,8900,,1.7万
2026-09-25 06:56,2027-03,123,1333,Ｕｍｉｏｓ,1000,703700,66800,9500,400,◎,×,1289,100,185,719,6.0,0,,9500
2026-09-25 06:56,2027-03,123,1375,ユキグニファクトリー,0,,8400,―,―,―,―,1175,100,185,655,0,,,―
2026-09-25 06:56,2027-03,123,1379,ホクト,0,29800,15400,7200,500,◎,―,2112,100,185,1178,3.0,,,7200
2026-09-25 06:56,2027-03,123,1380,秋川牧園,,,,―,―,―,―,996,500,185,2777,0,,,―
2026-09-25 06:56,2027-03,123,1384,ホクリヨウ,0,,,―,―,―,×,2136,100,185,1191,0,,,―
2026-09-25 06:56,2027-03,123,1417,ミライト・ワン,1000,576900,14400,―,―,◎,―,3579,100,185,1995,0,,,―
2026-09-25 06:56,2027-03,123,1420,サンヨーホームズ,0,,,―,―,―,―,631,100,185,352,19.0,,,―
2026-09-25 06:56,2027-03,123,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,655,1000,185,3652,90.0,,,―
2026-09-25 06:56,2027-03,123,1446,キャンディル,,,,―,―,―,―,539,200,185,601,10.0,,,―
2026-09-25 06:56,2027-03,123,1515,日鉄鉱業,1000,,600,7700,1400,◎,―,3275,100,185,1826,10.0,5400,0,7700
2026-09-25 06:56,2027-03,123,1518,三井松島ホールディングス,900,20900,100,▲,―,◎,―,2280,500,185,6356,0,,,▲
2026-09-25 06:56,2027-03,123,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,500,185,686,0,,,―
2026-09-25 06:56,2027-03,123,1738,ＮＩＴＴＯＨ,,,,―,―,―,―,584,1000,185,3256,0,,,―
2026-09-25 06:56,2027-03,123,1762,高松コンストラクショングループ,300,71300,5600,―,―,◎,―,4235,100,185,2361,8.0,,,―
2026-09-25 06:56,2027-03,123,1780,ヤマウラ,0,,,▲,0,―,―,1481,100,185,826,3.0,,0,▲
2026-09-25 06:56,2027-03,123,1793,大本組,,,,―,―,―,―,2119,100,185,1181,0,,,―
2026-09-25 06:56,2027-03,123,1795,マサル,,,,―,―,―,―,5740,600,185,19201,0,,,―
2026-09-25 06:56,2027-03,123,1801,大成建設,900,22400,9800,300,1300,◎,―,12655,100,185,7056,4.0,21000,,300
2026-09-25 06:56,2027-03,123,1803,清水建設,1900,75800,48400,―,―,―,―,2351,1000,185,13108,2.0,,,―
2026-09-25 06:56,2027-03,123,1808,長谷工コーポレーション,900,24800,300,▲,―,◎,―,2724,100,185,1519,0,,,▲
2026-09-25 06:56,2027-03,123,1822,大豊建設,70300,0,0,×,0,―,―,835,100,185,466,36.0,,,×
2026-09-25 06:56,2027-03,123,1828,田辺工業,,,,―,―,―,―,2425,100,185,1352,0,,,―
2026-09-25 06:56,2027-03,123,1860,戸田建設,1000,1603500,13000,―,―,◎,―,1509,1000,185,8413,0,,,―
2026-09-25 06:56,2027-03,123,1904,大成温調,,,,―,―,―,―,5130,1200,185,34322,250.0,,,―
2026-09-25 06:56,2027-03,123,1925,大和ハウス工業,1000,696200,68600,1.3万,200,◎,―,4532,100,185,2527,4.0,280000,,1.3万
2026-09-25 06:56,2027-03,123,1952,新日本空調,3600,58100,1600,▲,▲,◎,―,3230,300,185,5403,2.0,2900,0,▲
2026-09-25 06:56,2027-03,123,1965,テクノ菱和,,,,―,―,―,―,7160,100,185,3992,2.0,,,―
2026-09-25 06:56,2027-03,123,1967,ヤマト,0,,,―,―,―,―,2144,100,176,1137,5.0,,,―
2026-09-25 06:56,2027-03,123,1976,明星工業,0,78700,13700,1.7万,100,◎,―,1724,200,185,1922,6.0,0,,1.7万
2026-09-25 06:56,2027-03,123,1992,神田通信機,,,,―,―,―,―,2986,100,185,1665,0,,,―
2026-09-25 06:56,2027-03,123,2001,ニップン,2800,178400,900,▲,▲,◎,―,2926,100,185,1631,2.0,5500,,▲
2026-09-25 06:56,2027-03,123,2002,日清製粉グループ本社,900,19600,42600,5200,100,◎,×,2014,500,185,5614,2.0,21000,,5200
2026-09-25 06:56,2027-03,123,2004,昭和産業,1000,80100,9600,4800,900,◎,×,3905,100,185,2177,4.0,4000,,4800
2026-09-25 06:56,2027-03,123,2053,中部飼料,54700,19100,47500,◎,◎,―,―,2022,500,185,5637,4.0,0,,◎
2026-09-25 06:56,2027-03,123,2108,日本甜菜製糖,0,,4200,2300,400,―,―,0,300,185,,4.0,100,,2300
