監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1433,ベステラ,【1000株】プレミアム優待クラブ30000P,18000,120.0,1.5,,,max逆日歩:53.0,2027-01
False,,1444,ニッソウ,【300株】クオカード1000円 及び プレミアム優待クラブ18000P,10800,82.0,1.32,,,,2027-01
False,,1928,積水ハウス,【1000株】コシヒカリ5kg 2000円相当,1000,353,0.03,8100,,max逆日歩:12.0,2027-01
False,,2353,日本駐車場開発,【500株】リフト等利用割引券3枚など（電子チケット）,600,14,0.44,46000,,max逆日歩:1.0,2027-01
False,,2424,ブラス,【100株】【2027増額】デジタルギフト1000円相当【注：継続保有制限】,970,6.0,1.58,,,,2027-01
False,,2590,ダイドーグループホールディングス,【200株】ゼリー・飲料など6000円相当【注：継続保有制限】,3000,60.0,0.5,,,max逆日歩:10,2027-01
False,,3070,アマガサ,"【100株】ECサイト ポイント10,000円相当",10000,,0.0,,,,2027-01
False,,3071,ストリーム,【100株】優待割引券1000円相当,550,,0.0,,,,2027-01
False,,3169,ミサワ,"【300株】unicoオリジナル商品5000円相当 もしくは unico5,000円優待券",5000,21,2.4,,,,2027-01
False,,3172,ティーライフ,【100株】買物券 1000円相当,200,11.0,0.18,,,max逆日歩:58.0,2027-01
False,,3193,エターナルホスピタリティグループ,【100株】【2027分割変更あり】食事優待券 1000円相当,1000,35,0.3,0,,max逆日歩:66.0,2027-01
False,,3246,コーセーアールイー,【100株】クオカード500円相当【注：継続保有制限】,475,7.0,0.69,,,,2027-01
False,,3320,クロスプラス,【100株】オンラインストア・クーポン券 3000円,500,13,0.38,,,max逆日歩:51,2027-01
False,,3399,丸千代山岡家,【100株】ラーメン無料券2枚,1600,38.0,0.42,,,max逆日歩:43.0,2027-01
False,,3415,ＴＯＫＹＯ　ＢＡＳＥ,【100株】株主ご優待券2000円相当,2000,4,4.7,0,,max逆日歩:1.0,2027-01
False,,3421,稲葉製作所,【1000株】図書カード 1000円相当,1000,162,0.1,200,,,2027-01
False,,3455,ヘルスケア＆メディカル投資法人,【1口】体験入居無料,,10.0,0.0,,,max逆日歩:465,2027-01
False,,3662,エイチームホールディングス,【500株】クオカード10000円相当,1,63,1.6,0,,max逆日歩:62.0,2027-01
False,,4014,カラダノート,"【1000株】デジタルギフト（基準日あたり15,000千円をシェア）",,45.0,0.0,,,,2027-01
False,,5031,モイ,【200株】オリジナルクオカード1000円,950,8.0,1.24,,,,2027-01
False,,5248,テクノロジーズ,"【1000株】選べるe-GIFT 25,000円相当【注：継続保有制限】",23750,52.0,4.59,,,,2027-01
False,,6040,日本スキー場開発,【100株】リフト利用割引券などの割引チケットセット,500,5.0,1.08,,,,2027-01
False,,6654,不二電機工業,【300株】クオカード 500円相当,475,32.0,0.15,,,max逆日歩:58.0,2027-01
False,,7073,ジェイック,【100株】クオカード2000円相当,1900,23.0,0.83,,,,2027-01
False,,7097,さくらさくプラス,【200株】クオカード10000円相当,9500,55.0,1.73,,,,2027-01
False,,7343,ブロードマインド,【400株】プレミアム優待クラブ4000ポイント,2400,53.0,0.45,,,,2027-01
False,,7590,タカショー,【500株】【注意】プレミアム優待クラブ 3000ポイント,3000,20,1.5,,,,2027-01
False,,7614,オーエムツーネットワーク,【100株】牛肉など割引販売(30%),,15.0,0.0,,,,2027-01
False,,7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,【100株】お食事券10000円,5600,27.0,2.04,,,,2027-01
False,,7678,あさくま,【100株】食事券 2000円相当,700,38.0,0.18,,,max逆日歩:307.0,2027-01
False,,7683,ダブルエー,【100株】ORientalTRafficONLINE STORE商品無料券【注：継続保有制限】,3800,14.0,2.7,,,,2027-01
False,,8013,ナイガイ,【100株】自社商品詰合せ1000円相当【注：継続保有制限】,400,4.0,1.06,,,注意喚起:申込停止 / max逆日歩:4,2027-01
False,,8142,トーホー,【300株】お買物割引券100円×50枚 もしくは toho coffeeセット,5000,39,1.3,0,,max逆日歩:9.0,2027-01
False,,9166,ＧＥＮＤＡ,【100株】クーポン券3000円分【注：継続保有制限】,3000,7.0,4.35,,,,2027-01
False,,9242,メディア総研,【200株】プレミアム優待クラブ3000ポイント,1800,,0.0,,,,2027-01
False,,9262,シルバライフ,自商品券,5000,16,3.1,0,,,2027-01
False,,9476,中央経済社ホールディングス,"【100株】ビジネス専門書onlineで使用できる4,000円分のクーポンコード",4000,,0.0,,,,2027-01
False,,9632,スバル興業,【500株】TOHOシネマ ギフトカード 2000円相当,2000,156,0.1,100,,,2027-01
False,,9636,きんえい,【75株】映画株主優待カード 6枚,1800,32.0,0.57,,,,2027-01
