監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1383,ベルグアース,【100株】メロン2玉など,2500,31.0,0.82,,,,2027-04
False,,1436,グリーンエナジー＆カンパニー,"【300株】デジタルギフト15,000円分【注：継続保有制限】",14250,52.0,2.76,,,,2027-04
False,,1766,東建コーポレーション,【100株】東建多度カントリークラブ20000円相当,4000,133,0.3,,,max逆日歩:56.0,2027-04
False,,1873,日本ハウスホールディングス,【1000株】スープセット4個,1200,33,0.38,0,,,2027-04
False,,2198,アイ・ケイ・ケイホールディングス,"【100株】特選お菓子2,000円相当 及び レストラン優待券3枚【注：継続保有制限】",1000,8.0,1.29,,,max逆日歩:38.0,2027-04
False,,2294,柿安本店,【100株】株主ご優待利用券500円券2枚,1000,30,0.3,,,max逆日歩:51.0,2027-04
False,,2438,アスカネット,【100株】割引利用券1000円相当,30,3.0,0.09,,,注意喚起:注意喚起 / max逆日歩:1.0,2027-04
False,,2593,伊藤園,【100株】緑茶など 1500円相当,1500,30,0.5,77000,,max逆日歩:4.0,2027-04
False,,2695,くら寿司,"【100株】【2027分割変更】ご優待食事券2,500円相当",2500,36,0.7,9900,,注意喚起:注意 / max逆日歩:58.0,2027-04
False,,2751,テンポスホールディングス,【100株】【2027より保有制限】協力会社食事券8000円相当,88,36.0,0.02,,,max逆日歩:77.0,2027-04
False,,2910,ロック・フィールド,【100株】おそうざい券500円相当【注：継続保有制限】,400,14.0,0.28,,,max逆日歩:17,2027-04
False,,3031,ラクーンホールディングス,【500株】デジタルギフト7500円相当【注：継続保有制限】,7275,34.0,2.12,,,max逆日歩:26.0,2027-04
False,,3134,Ｈａｍｅｅ,【100株】クーポン 1500円相当,1500,5,2.9,100,,注意喚起:申込停止 / max逆日歩:10.0,2027-04
False,,3180,ビューティガレージ,【100株】自社取扱商品から選択4000円相当【注：継続保有制限】,2400,16.0,1.48,,,max逆日歩:10.0,2027-04
False,,3329,東和フードサービス,【100株】優待食事券 もしくは 椿屋珈琲グループアプリポイント 1500円相当,900,21.0,0.42,,,max逆日歩:70.0,2027-04
False,,3361,トーエル,【500株】自社商品 1500円相当,600,44.0,0.13,,,,2027-04
False,,3475,グッドコムアセット,【1000株】【2026のみ】デジタルギフト50000円相当,48500,148.0,3.27,,,注意喚起:申込停止 / max逆日歩:102.0,2027-04
False,,3476,投資法人みらい,【1口】ホテル優待割引,10,4.0,0.02,,,max逆日歩:210,2027-04
False,,3843,フリービット,【500株】プレミアム優待クラブ 3000円相当,3000,74,0.4,0,,max逆日歩:5.0,2027-04
False,,3903,ｇｕｍｉ,【500株】【抽選】ビットコイン・リップル1〜10万円相当,,10.0,0.0,,,max逆日歩:0.0,2027-04
False,,4382,ＨＥＲＯＺ,【1000株】プレミアム優待クラブ7500ポイント,4500,84.0,0.53,,,注意喚起:注意喚起 / max逆日歩:30,2027-04
False,,4450,パワーソリューションズ,【100株】クオカード4000円相当,3800,23.0,1.63,,,,2027-04
False,,5971,共和工業所,【100株】QUOカードPay 1000円相当,950,,0.0,,,,2027-04
False,,7435,ナ・デックス,【100株】【2026のみ】クオカード3000円,2850,13.0,2.21,,,,2027-04
False,,7604,梅の花,【100株】10％割引優待証１枚,1400,9.0,1.53,,,,2027-04
False,,7804,ビーアンドピー,【100株】デジタルギフト1000円相当【注：継続保有制限】,970,24.0,0.4,,,,2027-04
False,,7901,マツモト,【100株】【抽選】暗号資産ソラナ（SOL）,,,0.0,,,,2027-04
False,,8079,正栄食品工業,【100株】お菓子詰め合わせ,200,42,0.04,0,,max逆日歩:35.0,2027-04
False,,8917,ファースト住建,【100株】クオカード500円相当【注：継続保有制限】,475,11.0,0.44,,,max逆日歩:77.0,2027-04
False,,8927,明豊エンタープライズ,"【1000株】デジタルギフト 8,000円分",7760,50,1.55,,,max逆日歩:16,2027-04
False,,9279,ギフトホールディングス,【100株】優待ポイント1000ポイント,1500,45,0.3,20000,,max逆日歩:15,2027-04
False,,9444,トーシンホールディングス,【300株】ゴルフ場平日１Ｒ無料御招待１回など,3167,8.0,4.19,,,,2027-04
False,,9603,エイチ・アイ・エス,【100株】優待券 1000円相当,2000,10,1.9,38000,,max逆日歩:0.0,2027-04
False,,9627,アインホールディングス,【100株】買物券 2000円相当,2000,58,0.3,20000,,注意喚起:申込停止 / max逆日歩:13.0,2027-04
