取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-26 06:58,2027-05,162,1377,サカタのタネ,1900,117200,8600,―,―,◎,▲,4390,100,245,3241,6,,,―
2026-09-26 06:58,2027-05,162,2168,パソナ,0,,,×,0,―,―,20,100,,15,,,0,×
2026-09-26 06:58,2027-05,162,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,,,,―,―,―,―,631,1000,245,4659,0,,,―
2026-09-26 06:58,2027-05,162,2462,ライク,0,,,×,0,―,―,1523,300,245,3374,82.0,,0,×
2026-09-26 06:58,2027-05,162,2493,イーサポートリンク,,,,―,―,―,―,959,100,245,708,0,,,―
2026-09-26 06:58,2027-05,162,2678,アスクル,0,,,×,0,―,―,1240,100,234,874,3.0,,,×
2026-09-26 06:58,2027-05,162,2722,ＩＫホールディングス,0,,,―,―,―,―,361,100,245,267,24,,,―
2026-09-26 06:58,2027-05,162,2791,大黒天物産,0,900,600,3200,0,―,―,4525,100,245,3341,95.0,,0,3200
2026-09-26 06:58,2027-05,162,2792,ハニーズホールディングス,0,,3100,―,―,―,―,1427,100,245,1054,14.0,,,―
2026-09-26 06:58,2027-05,162,3148,クリエイトＳＤホールディングス,1400,97800,9400,1.4万,30000,―,▲,3310,100,245,2444,15.0,0,0,1.4万
2026-09-26 06:58,2027-05,162,3160,大光,0,,,×,―,―,―,576,500,245,2126,34.0,,,×
2026-09-26 06:58,2027-05,162,3201,日本毛織,1000,181200,,―,―,◎,▲,2002,100,245,1478,3.0,,,―
2026-09-26 06:58,2027-05,162,3297,東武住販,,,,―,―,―,―,1185,100,245,875,0,,,―
2026-09-26 06:58,2027-05,162,3472,日本ホテル＆レジデンシャル投資法人,5,,,▲,―,―,―,66900,1,245,494,0,,0,▲
2026-09-26 06:58,2027-05,162,3501,ＳＵＭＩＮＯＥ,0,,,―,―,―,―,1198,300,245,2654,111,,,―
2026-09-26 06:58,2027-05,162,3547,ユニシアホールディングス,0,,,―,―,―,―,1949,100,245,1439,69,,,―
2026-09-26 06:58,2027-05,162,3549,クスリのアオキホールディングス,0,26500,,×,0,―,―,3948,100,234,2784,29.0,,,×
2026-09-26 06:58,2027-05,162,3556,リネットジャパングループ,,,0,―,―,―,―,811,100,245,599,0,,,―
2026-09-26 06:58,2027-05,162,3645,メディカルネット,,,,―,―,―,―,259,100,245,191,0,,,―
2026-09-26 06:58,2027-05,162,3760,ケイブ,,,,―,―,―,▲,722,100,245,533,0,,,―
2026-09-26 06:58,2027-05,162,3892,岡山製紙,,,,―,―,―,―,1605,100,245,1185,86.0,,,―
2026-09-26 06:58,2027-05,162,3994,マネーフォワード,0,,0,―,―,―,―,5763,100,245,4255,1.0,,,―
2026-09-26 06:58,2027-05,162,4465,ニイタカ,0,,,―,―,―,―,2345,100,245,1731,125.0,,,―
2026-09-26 06:58,2027-05,162,4825,ウェザーニューズ,0,19100,0,5000,17000,―,―,2003,100,245,1479,28.0,,0,5000
2026-09-26 06:58,2027-05,162,5869,早稲田学習研究会,,,,―,―,―,―,1261,200,245,1862,62.0,,,―
2026-09-26 06:58,2027-05,162,5967,ＴＯＮＥ,,,,―,―,―,―,0,100,245,,0,,,―
2026-09-26 06:58,2027-05,162,6150,タケダ機械,,,,―,―,―,―,2795,400,245,8255,0,,,―
2026-09-26 06:58,2027-05,162,6634,ネクスグループ,,,,―,―,―,―,0,100,245,,0,,,―
2026-09-26 06:58,2027-05,162,6905,コーセル,0,29300,,―,―,◎,▲,1474,300,234,3118,9.0,,,―
2026-09-26 06:58,2027-05,162,7388,ＦＰパートナー,,,0,―,―,―,―,2327,100,245,1718,125.0,,,―
2026-09-26 06:58,2027-05,162,7434,オータケ,,,,―,―,―,―,0,100,245,,0,,,―
2026-09-26 06:58,2027-05,162,7487,小津産業,0,,,―,―,―,―,1874,100,245,1384,96,,,―
2026-09-26 06:58,2027-05,162,8908,毎日コムネット,0,,,―,―,―,▲,893,100,245,659,19.0,,,―
2026-09-26 06:58,2027-05,162,9216,ビーウィズ,0,,,―,―,―,―,1704,200,245,2516,96,,,―
2026-09-26 06:58,2027-05,162,9265,ヤマシタヘルスケアホールディングス,0,,,―,―,―,▲,3790,100,245,2798,0,,,―
2026-09-26 06:58,2027-05,162,9278,ブックオフグループホールディングス,0,,,×,2600,―,―,2833,100,245,2092,72,,0,×
2026-09-26 06:58,2027-05,162,9765,オオバ,0,,,―,―,―,―,1207,500,245,4456,36,,,―
