取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-14 00:58,2026-09,10,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,650,100,16.0,31.0,90.0,,,―
2026-09-14 00:58,2026-09,10,1438,岐阜造園,,,,―,―,―,―,0,200,16.0,,0.0,,,―
2026-09-14 00:58,2026-09,10,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,3000,16.0,356.0,0.0,,,―
2026-09-14 00:58,2026-09,10,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,0,1000,16.0,,0.0,,,―
2026-09-14 00:58,2026-09,10,1795,マサル,,,,―,―,―,―,5800,200,16.0,559.0,0.0,,,―
2026-09-14 00:58,2026-09,10,1822,大豊建設,16000.0,3300.0,100.0,▲,―,―,―,823,100,16.0,40.0,36.0,100.0,16000.0,▲
2026-09-14 00:58,2026-09,10,1828,田辺工業,,,,―,―,―,―,2425,100,16.0,117.0,0.0,,,―
2026-09-14 00:58,2026-09,10,1848,富士ピー・エス,0.0,,,―,―,―,―,755,100,16.0,36.0,12.0,,,―
2026-09-14 00:58,2026-09,10,1867,植木組,0.0,,,―,―,―,―,2675,100,16.0,129.0,0.0,,,―
2026-09-14 00:58,2026-09,10,1879,新日本建設,200.0,0.0,0.0,×,―,―,―,2236,300,16.0,323.0,0.0,0.0,200.0,×
2026-09-14 00:58,2026-09,10,1904,大成温調,,,,―,―,―,―,5110,300,16.0,739.0,250.0,,,―
2026-09-14 00:58,2026-09,10,1952,新日本空調,3400.0,58200.0,2400.0,▲,―,◎,―,3140,300,16.0,454.0,2.0,,,▲
2026-09-14 00:58,2026-09,10,2053,中部飼料,4000.0,35100.0,53000.0,◎,1000,―,―,2010,500,16.0,485.0,4.0,53000.0,4000.0,◎
2026-09-14 00:58,2026-09,10,2114,フジ日本,,,,―,―,―,―,674,100,16.0,32.0,29.0,,,―
2026-09-14 00:58,2026-09,10,2120,ＬＩＦＵＬＬ,0.0,,,×,―,―,―,228,4000,16.0,440.0,0.0,,,×
2026-09-14 00:58,2026-09,10,2122,インタースペース,,,,―,―,―,―,1452,400,16.0,280.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2185,シイエム・シイ,,,,―,―,―,―,1942,100,16.0,94.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2201,森永製菓,500.0,201400.0,1300.0,▲,―,◎,―,2442,100,16.0,118.0,0.0,,,▲
2026-09-14 00:58,2026-09,10,2207,ｍｅｉｔｏ,600.0,,0.0,×,―,―,―,3390,100,16.0,163.0,18.0,0.0,600.0,×
2026-09-14 00:58,2026-09,10,2208,ブルボン,,,,―,―,―,―,3085,100,16.0,149.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2209,井村屋,0.0,,2500.0,◎,―,―,―,2353,100,16.0,113.0,0.0,2500.0,0.0,◎
2026-09-14 00:58,2026-09,10,2220,亀田製菓,4400.0,16400.0,3000.0,◎,―,◎,―,1349,100,16.0,65.0,3.0,3000.0,4400.0,◎
2026-09-14 00:58,2026-09,10,2221,岩塚製菓,,,,―,―,―,―,3060,200,16.0,295.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2226,湖池屋,,,,―,―,―,―,4915,100,16.0,237.0,1.0,,,―
2026-09-14 00:58,2026-09,10,2264,森永乳業,9400.0,1282200.0,8700.0,◎,―,◎,―,1106,200,16.0,107.0,6.0,8700.0,9400.0,◎
2026-09-14 00:58,2026-09,10,2267,ヤクルト本社,400.0,615600.0,0.0,▲,―,◎,―,2816,100,16.0,136.0,5.0,,,▲
2026-09-14 00:58,2026-09,10,2281,プリマハム,21000.0,29200.0,39000.0,◎,200,◎,―,2390,200,16.0,230.0,6.0,39000.0,21000.0,◎
2026-09-14 00:58,2026-09,10,2282,日本ハム,400.0,501500.0,4600.0,▲,1000,◎,―,6247,300,16.0,904.0,13.0,4600.0,400.0,▲
2026-09-14 00:58,2026-09,10,2288,丸大食品,36000.0,0.0,100.0,▲,200,―,―,2241,200,16.0,216.0,15.0,100.0,36000.0,▲
2026-09-14 00:58,2026-09,10,2307,クロスＣ,3700.0,,14000.0,▲,―,―,―,1028,200,16.0,99.0,0.0,14000.0,3700.0,▲
2026-09-14 00:58,2026-09,10,2335,キューブＳ,3400.0,,0.0,×,―,―,―,1096,200,16.0,106.0,18.0,0.0,3400.0,×
2026-09-14 00:58,2026-09,10,2340,極楽湯ホールディングス,,,,―,―,―,―,521,100,16.0,25.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2378,ルネサンス,0.0,,,×,―,―,―,1042,100,16.0,50.0,48.0,,0.0,×
2026-09-14 00:58,2026-09,10,2432,Ｄ・Ｎ・Ａ,1800.0,48000.0,4700.0,▲,300,◎,―,2496,100,16.0,120.0,0.0,4700.0,1800.0,▲
2026-09-14 00:58,2026-09,10,2454,オールアバウト,,,,―,―,―,―,351,300,16.0,51.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2464,Ａｏｂａ－ＢＢＴ,0.0,,,―,―,―,―,361,100,16.0,17.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2480,システム・ロケーション,,,,―,―,―,―,1798,100,16.0,87.0,0.0,,,―
2026-09-14 00:58,2026-09,10,2497,ユナイテッド,,,,―,―,―,―,528,1000,16.0,255.0,12.0,,,―
