監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1301,極洋,自社製品,2500,52,0.5,100,,max逆日歩:16.0,2027-03
False,,1332,ニッスイ,自社商品,3000,69,0.4,0,,max逆日歩:2.0,2027-03
False,,1333,マルハニチロ,自ギフカ,500,15,0.3,400,,max逆日歩:6.0,2027-03
False,,1375,ユキグニファクトリー,【100株】自社商品3000円相当【注：継続保有制限】,1500,12.0,1.27,,,,2027-03
False,,1379,ホクト,商品選択,500,20,0.23,500,,max逆日歩:3.0,2027-03
False,,1380,秋川牧園,【500株】自社食品1500円相当,750,,0.0,,,,2027-03
False,,1384,ホクリヨウ,【100株】たまごギフト券 500円相当,100,22.0,0.05,,,,2027-03
False,,1417,ミライト・ワン,"【100株】電子マネー等1,000円 もしくは （抽選）ミライト米1kg【注：継続保有制限】",950,36.0,0.26,,,,2027-03
False,,1420,サンヨーホームズ,【100株】クオカード 1000円相当,950,6.0,1.5,,,max逆日歩:19.0,2027-03
False,,1431,Ｌｉｂ　Ｗｏｒｋ,【1000株】プレミアム優待クラブ 5000ポイント,3000,66.0,0.46,,,注意喚起:注意喚起 / max逆日歩:90.0,2027-03
False,,1446,キャンディル,【200株】クオカード3000円相当,2850,11.0,2.64,,,max逆日歩:10.0,2027-03
False,,1515,日鉄鉱業,水13.2L,500,27,0.15,1400,,max逆日歩:10.0,2027-03
False,,1518,三井松島,優待券,100,70,0.01,,,,2027-03
False,,1711,ＳＤＳホールディングス,【500株】デジタルギフト5000円相当,9700,12.0,7.89,,,,2027-03
False,,1738,ＮＩＴＴＯＨ,【1000株】全国共通おこめギフト券 （５kg分）,,,0.0,,,,2027-03
False,,1762,高松コンストラクショングループ,【100株】魚沼産コシヒカリ5kg【注：継続保有制限】,1000,43.0,0.23,,,max逆日歩:8.0,2027-03
False,,1780,ヤマウラ,地場商品,3000,17,1.8,0,,max逆日歩:3.0,2027-03
False,,1793,大本組,【100株】プレミアム優待クラブ3000ポイント,1800,21.0,0.85,,,,2027-03
False,,1795,マサル,【600株】宝くじ 10枚,1200,348,0.03,,,,2027-03
False,,1801,大成建設,クーポン,,166,0.0,1300,,max逆日歩:4.0,2027-03
False,,1803,清水建設,【1000株】木工製品 1000円相当,400,241.0,0.02,,,max逆日歩:2.0,2027-03
False,,1808,長谷工コーポレーション,【100株】サービス利用券,10,28.0,0.0,,,,2027-03
False,,1822,大豊建設,QUO,500,8,0.6,0,,max逆日歩:36.0,2027-03
False,,1828,田辺工業,【100株】クオカード 500円相当,475,25.0,0.19,,,,2027-03
False,,1860,戸田建設,【1000株】宿泊割引券30%,5,153.0,0.0,,,,2027-03
False,,1904,大成温調,【1200株】クオカード4000円相当,3800,625.0,0.06,,,注意喚起:注意喚起 / max逆日歩:250.0,2027-03
False,,1925,大和ハウス,利用券,2000,51,0.4,200,,max逆日歩:4.0,2027-03
False,,1952,新日本空調,カタログ,3000,106,0.3,400,,max逆日歩:2.0,2027-03
False,,1965,テクノ菱和,【100株】静岡の新茶1パック,400,72.0,0.06,,,max逆日歩:2.0,2027-03
False,,1967,ヤマト,【100株】地元特産品3000円相当 もしくは 赤城の湯入浴券5枚【注：継続保有制限】,1200,21.0,0.57,,,注意喚起:注意 / max逆日歩:5.0,2027-03
False,,1976,明星工業,Ｊギフカ,1000,37,0.3,100,,max逆日歩:6.0,2027-03
False,,1992,神田通信機,【100株】クオカード 1000円相当,950,,0.0,,,,2027-03
False,,2001,ニップン,自社商品,1500,55,0.3,0,,max逆日歩:2.0,2027-03
False,,2002,日清製粉,自Ｇ製品,4000,105,0.4,100,,max逆日歩:2.0,2027-03
False,,2004,昭和産業,自社商品,1000,33,0.3,900,,max逆日歩:4.0,2027-03
False,,2053,中部飼料,QUO,1000,90,0.1,200,,max逆日歩:4.0,2027-03
False,,2108,日本甜菜製糖,自社製品,1000,43,0.2,400,,注意喚起:注意喚起 / max逆日歩:4.0,2027-03
False,,2109,ＤＭ三井製糖,自Ｇ商品,1000,34,0.3,0,,max逆日歩:4.0,2027-03
False,,2112,塩水港精糖,【1000株】オリゴのおかげ等詰合せ3500円相当,1400,46.0,0.3,,,max逆日歩:3.0,2027-03
False,,2117,ウェルネオ,自社製品,1000,29,0.3,100,,max逆日歩:5.0,2027-03
False,,2120,ＬＩＦＵＬＬ,【4000株】【2027開始】電子マネー15000円 及び 自社サービス特典【注：継続保有制限】,14550,95.0,1.53,,,max逆日歩:0.0,2027-03
False,,2122,インタースペース,"【400株】VJAギフトカード 10,000円分",9700,58.0,1.68,,,,2027-03
False,,2139,中広,【100株】クオカード 1000円相当【注：継続保有制限】,950,5.0,1.83,,,max逆日歩:8,2027-03
False,,2179,成学社,【100株】クオカード 1000円相当,950,8.0,1.16,,,注意喚起:注意喚起,2027-03
False,,2204,中村屋,自商品等,2000,34,0.6,0,,max逆日歩:12.0,2027-03
False,,2207,ｍｅｉｔｏ,自社製品,3000,58,0.5,0,,注意喚起:注意喚起 / max逆日歩:18,2027-03
False,,2209,井村屋,自社商品,500,24,0.2,100,,注意喚起:申込停止,2027-03
False,,2221,岩塚製菓,【100株】米菓などお菓子 1000円相当,400,30.0,0.13,,,,2027-03
False,,2222,寿スピリッツ,自Ｇ製品,3000,20,1.5,1400,,max逆日歩:10.0,2027-03
False,,2224,コモ,【100株】パンなど 3000円相当,1500,37.0,0.4,,,,2027-03
False,,2229,カルビー,自Ｇ製品,1500,31,0.5,800,,max逆日歩:4.0,2027-03
False,,2264,森永乳業,【200株】「森永絹とうふ」など自社製品1500円相当,750,23.0,0.32,,,max逆日歩:6.0,2027-03
False,,2267,ヤクルト,自社商品,350,26,0.12,600,,max逆日歩:5.0,2027-03
False,,2269,明治,自Ｇ製品,1500,39,0.4,100,,max逆日歩:2.0,2027-03
False,,2282,日本ハム,自Ｇ商品,1500,69,0.2,2700,,max逆日歩:13.0,2027-03
False,,2293,滝沢ハム,【100株】自社商品(ハム) 2500円相当,1250,27.0,0.47,,,,2027-03
False,,2296,伊藤ハム米久,自Ｇ商品,5000,121,0.4,1400,,max逆日歩:17.0,2027-03
False,,2307,クロスキャット,【200株】選択式電子ギフト500円相当,485,22.0,0.22,,,,2027-03
False,,2327,日鉄ソリュ,デジギフ,1000,37,0.3,,,max逆日歩:2.0,2027-03
False,,2340,極楽湯ホールディングス,【200株】【2023のみ】無料入浴券2枚,1000,11.0,0.93,,,,2027-03
False,,2344,平安レイサービス,【500株】食品 1500円相当,750,,0.0,,,,2027-03
False,,2351,ＡＳＪ,【1株】オンラインゲームチケット,,0.0,0.0,,,,2027-03
False,,2359,コア,会員証,3000,46,0.71,0,,max逆日歩:7,2027-03
False,,2376,サイネックス,【500株】クオカード2000円相当【注：継続保有制限】,1900,40.0,0.48,,,,2027-03
False,,2378,ルネサンス,優待券,2000,11,1.9,0,,注意喚起:申込停止 / max逆日歩:48,2027-03
False,,2410,キャリアデザインセンター,【1000株】新潟県魚沼産コシヒカリ ５kg,1000,288.0,0.03,,,注意喚起:注意喚起,2027-03
False,,2425,ケアサービス,【100株】クオカード1000円相当,950,,0.0,,,,2027-03
False,,2454,オールアバウト,【300株】プレミアム優待クラブ 1000ポイント,600,11.0,0.57,,,,2027-03
False,,2464,Ａｏｂａ－ＢＢＴ,【100株】割引券10%,,4.0,0.0,,,,2027-03
False,,2469,ヒビノ,【100株】クオカードなどから選択1000円相当,950,,0.0,,,,2027-03
False,,2475,ＷＤＢ,QUO,1000,15,0.6,0,,注意喚起:注意喚起 / max逆日歩:6.0,2027-03
False,,2480,システム・ロケーション,【100株】クオカード1000円相当,950,18.0,0.51,,,,2027-03
False,,2497,ユナイテッド,【1000株】プレミアム優待クラブ2500ポイント,1500,53.0,0.29,,,注意喚起:申込停止 / max逆日歩:12,2027-03
False,,2531,宝ホールディングス,【100株】自社商品 1000円相当【注：継続保有制限】,400,25.0,0.16,,,max逆日歩:3.0,2027-03
False,,2551,マルサンアイ,"【100株】自社製品1,500円相当",750,36.0,0.21,,,,2027-03
False,,2586,フルッタフルッタ,【100株】公式ECサイト15%割引,,1.0,0.0,,,,2027-03
False,,2588,プレミアムウォーターホールディングス,【100株】プレミアムウォーター バッグインボックスなど,518,37.0,0.14,,,,2027-03
False,,2594,キーコーヒー,自社商品,1000,20,0.5,0,,注意喚起:注意喚起 / max逆日歩:17.0,2027-03
False,,2602,日清オイリオ,自社製品,1500,59,0.3,0,,max逆日歩:47.0,2027-03
False,,2613,J-オイル,自社製品,3000,41,0.7,6300,,max逆日歩:4.0,2027-03
False,,2652,まんだらけ,【100株】「まんだらけZENBU」(1冊500円・3冊1000円),500,4.0,1.13,,,max逆日歩:16.0,2027-03
False,,2664,カワチ薬品,優待券,5000,30,1.7,0,,max逆日歩:105,2027-03
False,,2694,焼肉坂井ホールディングス,【100株】10％割引券2枚,640,1.0,8.89,,,注意喚起:申込停止 / max逆日歩:8,2027-03
False,,2705,大戸屋ホールディングス,【100株】食事券 4000円相当,2800,90.0,0.31,,,注意喚起:申込停止 / max逆日歩:2.0,2027-03
False,,2708,久世,【100株】久世 特選無洗米 2.5kg,750,19.0,0.4,,,,2027-03
False,,2730,エディオン,自ギフカ,3000,22,1.4,0,,max逆日歩:4.0,2027-03
False,,2733,あらた,QUO,1000,30,0.3,100,,max逆日歩:7.0,2027-03
False,,2749,ＪＰホールディングス,【500株】クオカード10000円相当【注：継続保有制限】,9500,34.0,2.79,,,注意喚起:注意喚起 / max逆日歩:2.0,2027-03
False,,2750,石光商事,【300株】コーヒーなど2000円相当,1000,41.0,0.25,,,max逆日歩:4.0,2027-03
False,,2753,あみやき亭,優待券,1000,14,0.7,0,,,2027-03
False,,2764,ひらまつ,【500株】割引券20%,500,9.0,0.58,,,,2027-03
False,,2790,ナフコ,【100株】ＵＣギフトカード1000円相当 または ナフコお買物券2000円分,800,21.0,0.38,,,,2027-03
False,,2801,キッコーマン,【100株】自社グループ商品1000円相当【注：継続保有制限】,400,17.0,0.24,,,max逆日歩:2.0,2027-03
False,,2802,味の素,"【200株】食品詰め合わせセット2,000円相当【注：継続保有制限】",1000,99.0,0.1,,,max逆日歩:4.0,2027-03
False,,2804,ブルドック,自Ｇ製品,1000,19,0.5,0,,max逆日歩:10.0,2027-03
