監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1381,アクシーズ,【500株】鶏肉加工食品,1500,180.0,0.08,,,,2027-06
False,,1431,Ｌｉｂ　Ｗｏｒｋ,【1000株】プレミアム優待クラブ 5000ポイント,3000,66.0,0.46,,,注意喚起:注意喚起 / max逆日歩:90.0,2027-06
False,,1788,三東工業社,【100株】クオカード1500円相当,1425,41.0,0.35,,,,2027-06
False,,2009,鳥越製粉,【500株】久留米ラーメン3000 円相当【注：継続保有制限】,1500,56.0,0.27,,,,2027-06
False,,2170,リンクアンドモチベーション,【1000株】デジタルギフト2750円分【注：継続保有制限】,2668,69,0.39,,,max逆日歩:2,2027-06
False,,2206,江崎グリコ,【100株】菓子1200円相当【注：継続保有制限】,600,50.0,0.12,,,max逆日歩:7.0,2027-06
False,,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,【100株】eGift 1200円相当,900,40.0,0.22,,,,2027-06
False,,2311,エプコ,【100株】【抽選】太陽光発電システムなど,,,0.0,,,,2027-06
False,,2325,ＮＪＳ,【300株】プレミアム優待クラブ5000ポイント,5000,142,0.4,,,max逆日歩:14.0,2027-06
False,,2385,総医研ホールディングス,"【100株】イミダポイント 2,000P",2000,2.0,9.17,,,,2027-06
False,,2418,ツカダ・グローバルホールディング,【100株】株主優待券 2枚,10,6.0,0.02,,,max逆日歩:0.0,2027-06
False,,2428,ウェルネット,"【100株】支払秘書サービス1,000ポイント",800,6.0,1.28,,,max逆日歩:1.0,2027-06
False,,2498,オリエンタルコンサルタンツホールディング,【200株】クオカード500円相当【注：継続保有制限】,475,63.0,0.08,,,,2027-06
False,,2573,北海道コカ・コーラボトリング,【100株】Coke ON®ドリンクチケット25枚などから選択,2250,41.0,0.55,,,注意喚起:申込停止,2027-06
False,,2579,コカ・コーラ　ボトラーズジャパンホールデ,【100株】Coke ONドリンクチケット 5枚【注：継続保有制限】,350,38.0,0.09,,,max逆日歩:3.0,2027-06
False,,2676,高千穂交易,【100株】プレミアム優待クラブ600ポイント,600,22,0.3,0,,max逆日歩:1.0,2027-06
False,,2689,オルバディーブイエックスヘルスケア,【100株】クオカード1000円相当,950,19.0,0.49,,,max逆日歩:101.0,2027-06
False,,2700,木徳神糧,【1000株】米穀製品 5㎏相当,1000,173,0.06,,,,2027-06
False,,2702,日本マクドナルドホールディングス,【100株】食事優待券(6枚)【注：継続保有制限】,4080,74,0.52,0,,max逆日歩:60,2027-06
False,,2752,フジオフードグループ本社,【100株】食事優待券など3000円相当,3000,12,2.6,0,,注意喚起:注意喚起 / max逆日歩:144,2027-06
False,,2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤ,【100株】30％割引券2枚,20,,0.0,,,,2027-06
False,,2811,カゴメ,【100株】食品・ジュース等2000円相当【注：継続保有制限】,1000,27.0,0.37,,,max逆日歩:6.0,2027-06
False,,2904,一正蒲鉾,【100株】蒲鉾・総菜等 1000円相当【注：継続保有制限】,500,8.0,0.66,,,max逆日歩:19.0,2027-06
False,,2938,オカムラ食品工業,【100株】養殖・加工食品3000円相当,1500,13.0,1.15,,,max逆日歩:168,2027-06
