取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-26 06:58,2027-04,144,1383,ベルグアース,,,,―,―,―,―,3045,100,219,2010,0.0,,,―
2026-09-26 06:58,2027-04,144,1436,グリーンエナジー＆カンパニー,,,,―,―,―,―,1722,300,219,3410,0.0,,,―
2026-09-26 06:58,2027-04,144,1766,東建コーポレーション,900,13000,,▲,―,◎,―,13280,100,219,8765,56.0,,0,▲
2026-09-26 06:58,2027-04,144,1873,日本ハウスホールディングス,0,,,▲,0,―,―,312,1000,219,2059,0.0,,0,▲
2026-09-26 06:58,2027-04,144,2198,アイ・ケイ・ケイホールディングス,0,,,―,―,―,―,772,100,219,510,38.0,,,―
2026-09-26 06:58,2027-04,144,2294,柿安本店,0,,,×,―,―,―,2500,100,219,1650,51.0,,,×
2026-09-26 06:58,2027-04,144,2438,アスカネット,,,,―,―,―,―,348,100,219,230,1.0,,,―
2026-09-26 06:58,2027-04,144,2593,伊藤園,1300,175900,0,7.2万,77000,◎,―,3148,100,219,2078,4.0,0,0,7.2万
2026-09-26 06:58,2027-04,144,2695,くら寿司,3100,,,×,9900,―,―,0,100,219,,58.0,,0,×
2026-09-26 06:58,2027-04,144,2751,テンポスホールディングス,,,,―,―,―,―,3615,100,219,2386,77.0,,,―
2026-09-26 06:58,2027-04,144,2910,ロック・フィールド,0,,,▲,―,―,―,1406,100,219,928,17.0,,,▲
2026-09-26 06:58,2027-04,144,3031,ラクーンホールディングス,0,,0,×,―,―,―,681,500,219,2247,26.0,,,×
2026-09-26 06:58,2027-04,144,3134,Ｈａｍｅｅ,0,,0,×,100,―,―,299,100,219,197,10.0,,,×
2026-09-26 06:58,2027-04,144,3180,ビューティガレージ,0,,,▲,―,―,▲,1633,100,219,1078,10.0,,,▲
2026-09-26 06:58,2027-04,144,3329,東和フードサービス,,,,―,―,―,―,2145,100,219,1416,70.0,,,―
2026-09-26 06:58,2027-04,144,3361,トーエル,0,,,―,―,―,―,906,500,219,2990,0.0,,,―
2026-09-26 06:58,2027-04,144,3475,グッドコムアセット,0,,0,―,―,―,―,1490,1000,219,9834,102.0,,,―
2026-09-26 06:58,2027-04,144,3476,投資法人みらい,5,6241,194,―,―,◎,―,41050,1,219,271,210.0,,,―
2026-09-26 06:58,2027-04,144,3843,フリービット,0,1200,8700,300,0,―,▲,1682,500,219,5551,5.0,,0,300
2026-09-26 06:58,2027-04,144,3903,ｇｕｍｉ,0,,,―,―,―,―,204,500,219,673,0.0,,,―
2026-09-26 06:58,2027-04,144,4382,ＨＥＲＯＺ,,,,―,―,―,―,856,1000,219,5650,30.0,,,―
2026-09-26 06:58,2027-04,144,4450,パワーソリューションズ,,,,―,―,―,―,2368,100,219,1563,0.0,,,―
2026-09-26 06:58,2027-04,144,5971,共和工業所,,,,―,―,―,―,0,100,219,,0.0,,,―
2026-09-26 06:58,2027-04,144,7435,ナ・デックス,,,,―,―,―,―,1341,100,219,885,0.0,,,―
2026-09-26 06:58,2027-04,144,7604,梅の花,,,,―,―,―,▲,914,100,219,603,0.0,,,―
2026-09-26 06:58,2027-04,144,7804,ビーアンドピー,,,,―,―,―,▲,2420,100,219,1597,0.0,,,―
2026-09-26 06:58,2027-04,144,7901,マツモト,,,,―,―,―,―,0,100,219,,0.0,,,―
2026-09-26 06:58,2027-04,144,8079,正栄食品工業,0,,0,▲,0,―,―,4460,100,219,2944,35.0,,0,▲
2026-09-26 06:58,2027-04,144,8917,ファースト住建,0,,,―,―,―,―,1090,100,219,719,77.0,,,―
2026-09-26 06:58,2027-04,144,8927,明豊エンタープライズ,,,,―,―,―,▲,506,1000,219,3340,16.0,,,―
2026-09-26 06:58,2027-04,144,9279,ギフトホールディングス,0,,0,▲,20000,―,―,1982,100,219,1308,15.0,,0,▲
2026-09-26 06:58,2027-04,144,9444,トーシンホールディングス,,,,―,―,―,―,252,300,219,499,0.0,,,―
2026-09-26 06:58,2027-04,144,9603,エイチ・アイ・エス,2600,65500,177200,▲,38000,◎,▲,1121,100,219,740,0.0,7500,,▲
2026-09-26 06:58,2027-04,144,9627,アインホールディングス,1700,109000,2600,2.2万,20000,―,▲,5463,100,219,3606,13.0,0,,2.2万
