取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-24 17:19,2026-09,2,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,657,100,3,6,90.0,,,―
2026-09-24 17:19,2026-09,2,1438,岐阜造園,,,,―,―,―,―,2304,200,3,42,0,,,―
2026-09-24 17:19,2026-09,2,1711,ＳＤＳホールディングス,,,,―,―,―,―,247,3000,3,67,0,,,―
2026-09-24 17:19,2026-09,2,1770,藤田エンジニアリング,,,,―,―,―,―,2301,100,3,21,0,,,―
2026-09-24 17:19,2026-09,2,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,3,6,0,,,―
2026-09-24 17:19,2026-09,2,1795,マサル,,,,―,―,―,―,5630,200,3,102,0,,,―
2026-09-24 17:19,2026-09,2,1822,大豊建設,5100,0,0,×,―,―,―,831,100,3,8,36.0,0,17000,×
2026-09-24 17:19,2026-09,2,1828,田辺工業,,,,―,―,―,―,2445,100,3,22,0,,,―
2026-09-24 17:19,2026-09,2,1848,富士ピー・エス,0,,,―,―,―,―,810,100,3,7,12,,,―
2026-09-24 17:19,2026-09,2,1867,植木組,0,,,―,―,―,―,2729,100,3,25,0.0,,,―
2026-09-24 17:19,2026-09,2,1879,新日本建設,100,0,0,×,―,―,―,2317,300,3,63,0,0,100,×
2026-09-24 17:19,2026-09,2,1904,大成温調,,,,―,―,―,―,5160,300,3,140,250.0,,,―
2026-09-24 17:19,2026-09,2,1952,新日本空調,2000,56700,1900,×,▲,◎,―,3240,300,3,88,2.0,,,×
2026-09-24 17:19,2026-09,2,2053,中部飼料,4200,4600,48500,◎,◎,―,―,2058,500,3,93,4.0,49000,8200,◎
2026-09-24 17:19,2026-09,2,2114,フジ日本,,,,―,―,―,―,674,100,3,6,29.0,,,―
2026-09-24 17:19,2026-09,2,2120,ＬＩＦＵＬＬ,8500,,,×,―,―,―,232,4000,3,84,0.0,,,×
2026-09-24 17:19,2026-09,2,2122,インタースペース,,,,―,―,―,―,1416,400,3,51,0,,,―
2026-09-24 17:19,2026-09,2,2185,シイエム・シイ,,,,―,―,―,―,2009,100,3,18,0,,,―
2026-09-24 17:19,2026-09,2,2201,森永製菓,1500,197600,1300,▲,―,◎,―,2481,100,3,22,0.0,,,▲
2026-09-24 17:19,2026-09,2,2207,ｍｅｉｔｏ,0,,0,×,―,―,―,3450,100,3,31,18,0,100,×
2026-09-24 17:19,2026-09,2,2208,ブルボン,,,,―,―,―,―,3125,100,3,28,0,,,―
2026-09-24 17:19,2026-09,2,2209,井村屋グループ,0,0,2000,×,―,―,―,2359,100,3,21,0,2000,0,×
