取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-21 10:52,2026-09,3,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,657,100,4,8,90.0,,,―
2026-09-21 10:52,2026-09,3,1438,岐阜造園,,,,―,―,―,―,2304,200,4,56,0,,,―
2026-09-21 10:52,2026-09,3,1711,ＳＤＳホールディングス,,,,―,―,―,―,247,3000,4,89,0,,,―
2026-09-21 10:52,2026-09,3,1770,藤田エンジニアリング,,,,―,―,―,―,2301,100,4,28,0,,,―
2026-09-21 10:52,2026-09,3,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,4,8,0,,,―
2026-09-21 10:52,2026-09,3,1795,マサル,,,,―,―,―,―,5630,200,4,136,0,,,―
2026-09-21 10:52,2026-09,3,1822,大豊建設,124200,0,0,×,―,―,―,831,100,4,10,36.0,200,17000,×
2026-09-21 10:52,2026-09,3,1828,田辺工業,,,,―,―,―,―,2445,100,4,29,0,,,―
2026-09-21 10:52,2026-09,3,1848,富士ピー・エス,0,,,―,―,―,―,810,100,4,10,12,,,―
2026-09-21 10:52,2026-09,3,1867,植木組,0,,,―,―,―,―,2729,100,4,33,0.0,,,―
2026-09-21 10:52,2026-09,3,1879,新日本建設,0,0,0,×,―,―,―,2317,300,4,84,0,0,100,×
2026-09-21 10:52,2026-09,3,1904,大成温調,,,,―,―,―,―,5160,300,4,187,250.0,,,―
2026-09-21 10:52,2026-09,3,1952,新日本空調,1100,57000,1900,×,▲,◎,―,3240,300,4,117,2.0,,,×
2026-09-21 10:52,2026-09,3,2053,中部飼料,0,15600,48500,◎,◎,―,―,2058,500,4,124,4.0,49000,9900,◎
2026-09-21 10:52,2026-09,3,2114,フジ日本,,,,―,―,―,―,674,100,4,8,29.0,,,―
2026-09-21 10:52,2026-09,3,2120,ＬＩＦＵＬＬ,0,,,×,―,―,―,232,4000,4,112,0.0,,,×
2026-09-21 10:52,2026-09,3,2122,インタースペース,,,,―,―,―,―,1416,400,4,68,0,,,―
2026-09-21 10:52,2026-09,3,2185,シイエム・シイ,,,,―,―,―,―,2009,100,4,24,0,,,―
2026-09-21 10:52,2026-09,3,2201,森永製菓,2900,198000,1300,▲,―,◎,―,2481,100,4,30,0.0,,,▲
2026-09-21 10:52,2026-09,3,2207,ｍｅｉｔｏ,0,,0,×,―,―,―,3450,100,4,42,18,0,1800,×
2026-09-21 10:52,2026-09,3,2208,ブルボン,,,,―,―,―,―,3125,100,4,38,0,,,―
2026-09-21 10:52,2026-09,3,2209,井村屋グループ,0,0,4100,×,―,―,―,2359,100,4,28,0,4100,0,×
2026-09-21 10:52,2026-09,3,2220,亀田製菓,0,15900,2100,◎,―,◎,―,1318,100,4,16,3.0,2100,5600,◎
2026-09-21 10:52,2026-09,3,2221,岩塚製菓,,,,―,―,―,―,3050,200,4,74,0,,,―
2026-09-21 10:52,2026-09,3,2226,湖池屋,,,,―,―,―,―,4895,100,4,59,1.0,,,―
2026-09-21 10:52,2026-09,3,2264,森永乳業,0,1248700,14800,◎,×,◎,―,1142,200,4,28,6.0,15000,6400,◎
2026-09-21 10:52,2026-09,3,2267,ヤクルト本社,3200,613300,1000,▲,―,◎,―,2816,100,4,34,5.0,,,▲
2026-09-21 10:52,2026-09,3,2281,プリマハム,4000,0,17200,×,◎,―,―,2407,200,4,58,6.0,17000,20000,×
2026-09-21 10:52,2026-09,3,2282,日本ハム,0,500000,4100,▲,◎,◎,―,6078,300,4,220,13.0,4100,1200,▲
2026-09-21 10:52,2026-09,3,2288,丸大食品,0,0,0,×,◎,―,―,2311,200,4,56,15.0,100,29000,×
2026-09-21 10:52,2026-09,3,2307,クロスキャット,0,,8500,▲,―,―,―,1078,200,4,26,0,8500,8100,▲
2026-09-21 10:52,2026-09,3,2335,キューブシステム,0,,0,×,―,―,―,1105,200,4,27,18.0,0,400,×
2026-09-21 10:52,2026-09,3,2340,極楽湯ホールディングス,,,,―,―,―,―,540,100,4,7,0,,,―
2026-09-21 10:52,2026-09,3,2378,ルネサンス,0,,,×,―,―,―,1052,100,4,13,48,,0,×
2026-09-21 10:52,2026-09,3,2432,ディー・エヌ・エー,8300,43400,4100,▲,◎,◎,―,2546,100,4,31,0,4100,3800,▲
2026-09-21 10:52,2026-09,3,2454,オールアバウト,,,,―,―,―,―,348,300,4,13,0,,,―
2026-09-21 10:52,2026-09,3,2464,Ａｏｂａ－ＢＢＴ,0,,,―,―,―,―,373,100,4,4,0,,,―
2026-09-21 10:52,2026-09,3,2480,システム・ロケーション,,,,―,―,―,―,1879,100,4,23,0,,,―
2026-09-21 10:52,2026-09,3,2497,ユナイテッド,,,,―,―,―,―,526,1000,4,63,12,,,―
2026-09-21 10:52,2026-09,3,2551,マルサンアイ,,,,―,―,―,―,3620,100,359,3917,0,,,―
2026-09-21 10:52,2026-09,3,2586,フルッタフルッタ,,,,―,―,―,―,64,100,4,1,0,,,―
2026-09-21 10:52,2026-09,3,2594,キーコーヒー,0,,0,×,―,―,―,2008,100,4,24,17.0,0,0,×
2026-09-21 10:52,2026-09,3,2652,まんだらけ,,,,―,―,―,―,435,100,4,5,16.0,,,―
2026-09-21 10:52,2026-09,3,2654,アスモ,,,,―,―,―,―,429,300,4,16,0,,,―
2026-09-21 10:52,2026-09,3,2694,焼肉坂井ホールディングス,,,,―,―,―,―,72,100,4,1,8,,,―
2026-09-21 10:52,2026-09,3,2705,大戸屋ホールディングス,,,,―,―,―,―,8850,100,4,107,2.0,,,―
2026-09-21 10:52,2026-09,3,2733,あらた,0,48300,18100,×,×,◎,―,2705,100,4,33,7.0,18000,5300,×
2026-09-21 10:52,2026-09,3,2737,トーメンデバイス,600,,,×,―,―,―,36850,100,4,444,0,,,×
2026-09-21 10:52,2026-09,3,2749,ＪＰホールディングス,0,,0,×,―,―,―,675,500,4,41,2.0,,,×
2026-09-21 10:52,2026-09,3,2750,石光商事,,,,―,―,―,―,1356,300,4,49,4.0,,,―
2026-09-21 10:52,2026-09,3,2764,ひらまつ,0,,,―,―,―,―,168,500,4,10,0,,,―
2026-09-21 10:52,2026-09,3,2790,ナフコ,,,,―,―,―,―,2120,100,4,26,0,,,―
2026-09-21 10:52,2026-09,3,2805,ヱスビー食品,,,,―,―,―,―,7930,100,4,96,0,,,―
2026-09-21 10:52,2026-09,3,2810,ハウス食品グループ本社,2000,46900,2300,▲,◎,◎,―,3974,100,4,48,3.0,,,▲
2026-09-21 10:52,2026-09,3,2814,佐藤食品工業,,,,―,―,―,―,1915,300,4,69,0,,,―
2026-09-21 10:52,2026-09,3,2815,アリアケジャパン,1500,150100,1300,▲,―,◎,―,5250,1000,4,633,5.0,,,▲
2026-09-21 10:52,2026-09,3,2816,ダイショー,,,,―,―,―,―,1419,100,4,17,36,,,―
2026-09-21 10:52,2026-09,3,2818,ピエトロ,0,,,―,―,―,―,1756,100,4,21,14.0,,,―
2026-09-21 10:52,2026-09,3,2831,はごろもフーズ,,,,―,―,―,―,3685,100,4,44,0,,,―
2026-09-21 10:52,2026-09,3,2874,横浜冷凍,0,2000,16000,×,―,◎,―,2164,1000,4,261,2.0,,,×
2026-09-21 10:52,2026-09,3,2883,大冷,0,,,―,―,―,―,2000,100,4,24,0,,0,―
2026-09-21 10:52,2026-09,3,2897,日清食品ホールディングス,2400,360400,4800,▲,▲,◎,―,2944,900,4,319,10.0,4800,5200,▲
2026-09-21 10:52,2026-09,3,2907,あじかん,,,,―,―,―,―,1550,500,4,93,1.0,,,―
2026-09-21 10:52,2026-09,3,2911,旭松食品,,,,―,―,―,―,2260,2000,4,545,0,,,―
2026-09-21 10:52,2026-09,3,2916,仙波糖化工業,,,,―,―,―,―,738,500,4,44,0,,,―
2026-09-21 10:52,2026-09,3,2917,大森屋,,,,―,―,―,―,924,1000,4,111,0,,,―
2026-09-21 10:52,2026-09,3,2933,紀文食品,0,,0,×,―,―,―,1127,300,4,41,29.0,0,800,×
2026-09-21 10:52,2026-09,3,2974,大英産業,,,,―,―,―,―,918,100,4,11,0,,,―
2026-09-21 10:52,2026-09,3,2998,クリアル,,,,―,―,―,―,524,100,4,6,0,,,―
2026-09-21 10:52,2026-09,3,3002,グンゼ,0,27400,12300,×,×,◎,―,4075,100,4,49,18.0,12000,4000,×
2026-09-21 10:52,2026-09,3,3010,ポラリス・ホールディングス,,,,―,―,―,―,189,500,4,11,0,,,―
2026-09-21 10:52,2026-09,3,3032,ゴルフ・ドゥ,,,,―,―,―,―,232,500,4,14,0,,,―
2026-09-21 10:52,2026-09,3,3066,ＪＢイレブン,,,,―,―,―,―,653,100,4,8,0,,,―
2026-09-21 10:52,2026-09,3,3067,東京一番フーズ,0,,,―,―,―,―,465,500,4,28,14.0,,,―
2026-09-21 10:52,2026-09,3,3069,ＪＦＬＡホールディングス,,,,―,―,―,×,166,500,4,10,24,,,―
2026-09-21 10:52,2026-09,3,3088,マツキヨココカラ＆カンパニー,0,1196200,71400,×,×,◎,▲,2529,100,4,30,6.0,71000,20000,×
2026-09-21 10:52,2026-09,3,3096,オーシャンシステム,,,,―,―,―,―,1618,200,4,39,0,,,―
2026-09-21 10:52,2026-09,3,3099,三越伊勢丹ホールディングス,3500,786000,1600,×,―,◎,―,3296,100,4,40,3.0,1600,4100,×
2026-09-21 10:52,2026-09,3,3143,オーウイル,,,,―,―,―,―,714,300,4,26,0,,,―
2026-09-21 10:52,2026-09,3,3153,八洲電機,0,,0,×,―,―,―,3265,100,4,39,0,0,36000,×
2026-09-21 10:52,2026-09,3,3167,ＴＯＫＡＩホールディングス,0,92300,177000,×,―,◎,―,1387,300,4,50,3.0,177000,37000,×
2026-09-21 10:52,2026-09,3,3175,エー・ピーホールディングス,0,,,―,―,―,―,980,200,4,24,0,,,―
2026-09-21 10:52,2026-09,3,3176,三洋貿易,0,0,0,×,―,―,―,1187,500,4,72,0.0,300,17000,×
2026-09-21 10:52,2026-09,3,3178,チムニー,0,,,―,―,―,―,1203,100,4,15,21.0,,,―
2026-09-21 10:52,2026-09,3,3190,ホットマン,,,,―,―,―,―,584,100,4,7,0,,,―
2026-09-21 10:52,2026-09,3,3199,綿半ホールディングス,8000,1000,5200,▲,―,―,―,1312,100,4,16,0.0,,,▲
2026-09-21 10:52,2026-09,3,3221,ヨシックスホールディングス,0,,0,×,―,―,―,3210,100,4,39,53.0,0,0,×
2026-09-21 10:52,2026-09,3,3224,ゼネラル・オイスター,,,,―,―,―,―,690,1000,4,83,0,,,―
2026-09-21 10:52,2026-09,3,3232,三重交通グループホールディングス,0,,0,×,―,―,―,610,100,4,7,5.0,0,2700,×
2026-09-21 10:52,2026-09,3,3237,イントランス,,,,―,―,―,―,94,1000,4,11,0,,,―
2026-09-21 10:52,2026-09,3,3289,東急不動産ホールディングス,7200,62000,10400,―,◎,◎,―,1280,100,4,15,1.0,10000,2900,―
2026-09-21 10:52,2026-09,3,3306,日本製麻,,,,―,―,―,―,718,3000,4,260,0,,,―
2026-09-21 10:52,2026-09,3,3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌ,,,,―,―,―,―,95,2500,4,29,0,,,―
2026-09-21 10:52,2026-09,3,3359,ｃｏｔｔａ,,,,―,―,―,―,522,1500,4,94,0,,,―
2026-09-21 10:52,2026-09,3,3371,ソフトクリエイトホールディングス,25700,11700,16300,×,―,◎,―,2189,100,4,26,2.0,16000,6300,×
2026-09-21 10:52,2026-09,3,3372,関門海,,,,―,―,―,―,221,100,4,3,0,,,―
2026-09-21 10:52,2026-09,3,3392,デリカフーズホールディングス,0,,,―,―,―,―,801,400,4,39,0,,,―
2026-09-21 10:52,2026-09,3,3397,トリドールホールディングス,0,,0,×,―,―,―,4451,100,4,54,5,0,2100,×
2026-09-21 10:52,2026-09,3,3435,サンコーテクノ,,,,―,―,―,―,1543,500,4,93,0,,,―
2026-09-21 10:52,2026-09,3,3447,信和,0,,,―,―,―,―,1020,1500,4,184,0,,,―
2026-09-21 10:52,2026-09,3,3461,パルマ,,,,―,―,―,―,627,100,4,8,0,,,―
2026-09-21 10:52,2026-09,3,3465,ケイアイスター不動産,9300,33300,800,▲,―,◎,―,3260,200,4,79,16.0,,,▲
2026-09-21 10:52,2026-09,3,3477,フォーライフ,,,,―,―,―,―,916,1000,4,110,0,,,―
2026-09-21 10:52,2026-09,3,3494,マリオン,,,,―,―,―,―,451,100,4,5,0,,,―
2026-09-21 10:52,2026-09,3,3529,アツギ,0,,,―,―,―,―,1040,100,4,13,0.0,,,―
2026-09-21 10:52,2026-09,3,3537,昭栄薬品,,,,―,―,―,―,1728,600,4,125,0,,,―
