取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-19 06:24,2027-04,146,1383,ベルグアース,,,,―,―,―,―,3065,100,221,2041,0.0,,,―
2026-09-19 06:24,2027-04,146,1436,グリーンエナジー＆カンパニー,,,,―,―,―,―,1723,300,221,3443,0.0,,,―
2026-09-19 06:24,2027-04,146,1766,東建コーポレーション,1000,13000,,▲,―,◎,―,13300,100,221,8858,56.0,,0,▲
2026-09-19 06:24,2027-04,146,1873,日本ハウスホールディングス,0,,,▲,0,―,―,312,1000,221,2078,0.0,,0,▲
2026-09-19 06:24,2027-04,146,2198,アイ・ケイ・ケイホールディングス,0,,,―,―,―,―,774,100,221,516,38.0,,,―
2026-09-19 06:24,2027-04,146,2294,柿安本店,0,,,×,―,―,―,2501,100,221,1666,51.0,,,×
2026-09-19 06:24,2027-04,146,2438,アスカネット,,,,―,―,―,―,341,100,221,227,1.0,,,―
2026-09-19 06:24,2027-04,146,2593,伊藤園,1300,175900,46800,◎,77000,◎,―,3165,100,221,2108,4.0,0,0,◎
2026-09-19 06:24,2027-04,146,2695,くら寿司,3100,,,×,9900,―,―,0,100,221,,58.0,,0,×
2026-09-19 06:24,2027-04,146,2751,テンポスホールディングス,,,,―,―,―,―,3580,100,221,2384,77.0,,,―
2026-09-19 06:24,2027-04,146,2910,ロック・フィールド,0,,,▲,―,―,―,1421,100,221,946,17.0,,,▲
2026-09-19 06:24,2027-04,146,3031,ラクーンホールディングス,0,,0,×,―,―,―,687,500,221,2288,26.0,,,×
2026-09-19 06:24,2027-04,146,3134,Ｈａｍｅｅ,0,,0,×,100,―,―,297,100,221,198,10.0,,,×
2026-09-19 06:24,2027-04,146,3180,ビューティガレージ,0,,,▲,―,―,▲,1627,100,221,1084,10.0,,,▲
2026-09-19 06:24,2027-04,146,3329,東和フードサービス,,,,―,―,―,―,2144,100,221,1428,70.0,,,―
2026-09-19 06:24,2027-04,146,3361,トーエル,0,,,―,―,―,―,890,500,221,2964,0.0,,,―
2026-09-19 06:24,2027-04,146,3475,グッドコムアセット,0,,0,―,―,―,―,1485,1000,221,9891,102.0,,,―
2026-09-19 06:24,2027-04,146,3476,投資法人みらい,5,6241,194,―,―,◎,―,41500,1,221,276,210.0,,,―
2026-09-19 06:24,2027-04,146,3843,フリービット,0,1200,8700,×,0,―,▲,1715,500,221,5711,5.0,,0,×
2026-09-19 06:24,2027-04,146,3903,ｇｕｍｉ,0,,,―,―,―,―,197,500,221,656,0.0,,,―
2026-09-19 06:24,2027-04,146,4382,ＨＥＲＯＺ,,,,―,―,―,―,843,1000,221,5615,30.0,,,―
2026-09-19 06:24,2027-04,146,4450,パワーソリューションズ,,,,―,―,―,―,2337,100,221,1557,0.0,,,―
2026-09-19 06:24,2027-04,146,5971,共和工業所,,,,―,―,―,―,0,100,221,,0.0,,,―
2026-09-19 06:24,2027-04,146,7435,ナ・デックス,,,,―,―,―,―,1290,100,221,859,0.0,,,―
2026-09-19 06:24,2027-04,146,7604,梅の花,,,,―,―,―,▲,914,100,221,609,0.0,,,―
2026-09-19 06:24,2027-04,146,7804,ビーアンドピー,,,,―,―,―,×,2405,100,221,1602,0.0,,,―
2026-09-19 06:24,2027-04,146,7901,マツモト,,,,―,―,―,―,0,100,221,,0.0,,,―
2026-09-19 06:24,2027-04,146,8079,正栄食品工業,0,,,▲,0,―,―,4470,100,221,2977,35.0,,0,▲
2026-09-19 06:24,2027-04,146,8917,ファースト住建,0,,,―,―,―,―,1087,100,221,724,77.0,,,―
2026-09-19 06:24,2027-04,146,8927,明豊エンタープライズ,,,,―,―,―,▲,500,1000,221,3330,16.0,,,―
2026-09-19 06:24,2027-04,146,9279,ギフトホールディングス,0,,0,▲,20000,―,―,2016,100,221,1343,15.0,,0,▲
2026-09-19 06:24,2027-04,146,9444,トーシンホールディングス,,,,―,―,―,―,252,300,221,504,0.0,,,―
2026-09-19 06:24,2027-04,146,9603,エイチ・アイ・エス,2200,65500,178000,▲,38000,◎,▲,1147,100,221,764,0.0,7500,,▲
2026-09-19 06:24,2027-04,146,9627,アインホールディングス,1700,109000,2500,◎,20000,―,▲,5519,100,221,3676,13.0,0,,◎
