取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-17 21:52,2026-09,4,1431,Ｌｉｂ　Ｗｏｒｋ,,,,―,―,―,―,658,100,7,14,90.0,,,―
2026-09-17 21:52,2026-09,4,1438,岐阜造園,,,,―,―,―,―,2304,200,7,97,0,,,―
2026-09-17 21:52,2026-09,4,1711,ＳＤＳホールディングス,,,,―,―,―,―,246,3000,7,156,0,,,―
2026-09-17 21:52,2026-09,4,1770,藤田エンジニアリング,,,,―,―,―,―,2317,100,7,49,0,,,―
2026-09-17 21:52,2026-09,4,1783,ｆａｎｔａｓｉｓｔａ,,,,―,―,―,―,68,1000,7,14,0,,,―
2026-09-17 21:52,2026-09,4,1795,マサル,,,,―,―,―,―,5800,200,7,245,0,,,―
2026-09-17 21:52,2026-09,4,1822,大豊建設,16000,6300,0,×,―,―,―,845,100,7,18,36.0,0,16000,×
2026-09-17 21:52,2026-09,4,1828,田辺工業,,,,―,―,―,―,2460,100,7,52,0,,,―
2026-09-17 21:52,2026-09,4,1848,富士ピー・エス,0,,,―,―,―,―,808,100,7,17,12,,,―
2026-09-17 21:52,2026-09,4,1867,植木組,0,,,―,―,―,―,2742,100,7,58,0.0,,,―
2026-09-17 21:52,2026-09,4,1879,新日本建設,0,7600,0,×,―,―,―,2336,300,7,148,0,0,0,×
2026-09-17 21:52,2026-09,4,1904,大成温調,,,,―,―,―,―,5210,300,7,330,250.0,,,―
2026-09-17 21:52,2026-09,4,1952,新日本空調,3100,61400,1900,▲,―,◎,―,3270,300,7,207,2.0,,,▲
2026-09-17 21:52,2026-09,4,2053,中部飼料,8400,35100,49000,◎,1000,―,―,2078,500,7,219,4.0,49000,8400,◎
2026-09-17 21:52,2026-09,4,2114,フジ日本,,,,―,―,―,―,675,100,7,14,29.0,,,―
2026-09-17 21:52,2026-09,4,2120,ＬＩＦＵＬＬ,0,,,×,―,―,―,237,4000,7,200,0.0,,,×
2026-09-17 21:52,2026-09,4,2122,インタースペース,,,,―,―,―,―,1440,400,7,122,0,,,―
2026-09-17 21:52,2026-09,4,2185,シイエム・シイ,,,,―,―,―,―,2002,100,7,42,0,,,―
2026-09-17 21:52,2026-09,4,2201,森永製菓,1400,230000,600,▲,―,◎,―,2521,100,7,53,0.0,,,▲
2026-09-17 21:52,2026-09,4,2207,ｍｅｉｔｏ,1600,,0,×,―,―,―,3470,100,7,73,18,0,1600,×
2026-09-17 21:52,2026-09,4,2208,ブルボン,,,,―,―,―,―,3130,100,7,66,0,,,―
2026-09-17 21:52,2026-09,4,2209,井村屋,0,,3600,◎,―,―,―,2369,100,7,50,0,3600,0,◎
2026-09-17 21:52,2026-09,4,2220,亀田製菓,4800,19400,1400,◎,―,◎,―,1333,100,7,28,3.0,1400,4800,◎
2026-09-17 21:52,2026-09,4,2221,岩塚製菓,,,,―,―,―,―,3045,200,7,128,0,,,―
2026-09-17 21:52,2026-09,4,2226,湖池屋,,,,―,―,―,―,4905,100,7,103,1.0,,,―
2026-09-17 21:52,2026-09,4,2264,森永乳業,7500,1323200,12000,◎,―,◎,―,1158,200,7,49,6.0,12000,7500,◎
2026-09-17 21:52,2026-09,4,2267,ヤクルト本社,1400,615600,1600,▲,―,◎,―,2870,100,7,61,5.0,,,▲
2026-09-17 21:52,2026-09,4,2281,プリマハム,19000,40100,20000,◎,200,―,―,2448,200,7,103,6.0,20000,19000,◎
2026-09-17 21:52,2026-09,4,2282,日本ハム,1600,501500,4100,▲,1000,◎,―,6292,300,7,398,13.0,4100,1600,▲
2026-09-17 21:52,2026-09,4,2288,丸大食品,25000,2400,3400,×,200,―,―,2318,200,7,98,15.0,3400,25000,×
2026-09-17 21:52,2026-09,4,2307,クロスＣ,4400,,8500,▲,―,―,―,1093,200,7,46,0,8500,4400,▲
2026-09-17 21:52,2026-09,4,2335,キューブＳ,3500,,0,×,―,―,―,1101,200,7,46,18.0,0,3500,×
2026-09-17 21:52,2026-09,4,2340,極楽湯ホールディングス,,,,―,―,―,―,537,100,7,11,0,,,―
2026-09-17 21:52,2026-09,4,2378,ルネサンス,0,,,×,―,―,―,1053,100,7,22,48,,0,×
