監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1431,Ｌｉｂ　Ｗｏｒｋ,【100株】クオカード1000円相当,950,7.0,1.45,,,注意喚起:注意喚起 / max逆日歩:90.0,2026-09
False,,1438,岐阜造園,【200株】クオカード1000円相当,950,46.0,0.21,,,,2026-09
False,,1711,ＳＤＳホールディングス,"【3000株】デジタルギフト10,000円相当【注：継続保有制限】",9700,74.0,1.31,,,,2026-09
False,,1770,藤田エンジニアリング,【100株】【2026記念】ペヤングの詰め合わせ 2500円相当,1250,23.0,0.54,,,,2026-09
False,,1783,ｆａｎｔａｓｉｓｔａ,【1000株】デジタルギフト1000円相当など,970,7.0,1.43,,,,2026-09
False,,1795,マサル,【200株】宝くじ 10枚,1200,115.0,0.11,,,,2026-09
False,,1822,大豊建設,【100株】クオカード500円相当,500,8.0,0.6,,,max逆日歩:36.0,2026-09
False,,1828,田辺工業,【100株】クオカード 500円相当,475,24.0,0.19,,,,2026-09
False,,1848,富士ピー・エス,【100株】クオカード 500円相当,475,9.0,0.59,,,max逆日歩:12,2026-09
False,,1867,植木組,【100株】クオカード 500円相当,475,27.0,0.17,,,注意喚起:注意喚起 / max逆日歩:0.0,2026-09
False,,1879,新日本建設,【300株】クオカード10000円,1,69.0,1.4,,,,2026-09
False,,1904,大成温調,【300株】【2027分割変更】クオカード4000円相当,3800,154.0,0.25,,,注意喚起:注意喚起 / max逆日歩:250.0,2026-09
False,,1952,新日本空調,【300株】クオカード2000円相当【注：継続保有制限】,1900,97.0,0.2,,,max逆日歩:2.0,2026-09
False,,2053,中部飼料,【500株】クオカード 1000円相当,950,101.0,0.09,1000,,max逆日歩:4.0,2026-09
False,,2114,フジ日本,【100株】クオカード500円,475,7.0,0.7,,,max逆日歩:29.0,2026-09
False,,2120,ＬＩＦＵＬＬ,【4000株】電子マネー15000円 及び 自社サービス特典【注：継続保有制限】,14550,96.0,1.57,,,max逆日歩:0.0,2026-09
False,,2122,インタースペース,"【400株】VJAギフトカード 10,000円分",9700,58.0,1.71,,,,2026-09
False,,2185,シイエム・シイ,【100株】カタログギフト3000円相当【注：継続保有制限】,1800,20.0,0.9,,,,2026-09
False,,2201,森永製菓,【100株】自社商品1500円相当【注：継続保有制限】,750,25.0,0.3,,,max逆日歩:0.0,2026-09
False,,2207,ｍｅｉｔｏ,【100株】チョコレートなど 2000円相当,2000,34.0,0.6,,,注意喚起:注意喚起 / max逆日歩:18,2026-09
False,,2208,ブルボン,【100株】菓子・飲料等詰め合わせ1000円相当【注：継続保有制限】,500,32.0,0.16,,,,2026-09
False,,2209,井村屋グループ,【100株】和菓子750円相当,750,24.0,0.3,,,注意喚起:申込停止,2026-09
False,,2220,亀田製菓,【100株】「通販いちば」クーポン 500円,500,13.0,0.4,,,max逆日歩:3.0,2026-09
False,,2221,岩塚製菓,【200株】米菓などお菓子 1000円相当,400,61.0,0.07,,,,2026-09
False,,2226,湖池屋,【100株】スナック菓子など2500円相当,1250,49.0,0.26,,,注意喚起:注意喚起 / max逆日歩:1.0,2026-09
False,,2264,森永乳業,【200株】【2027廃止】「森永絹とうふ」など自社製品1500円相当,1500,23.0,0.7,0,,max逆日歩:6.0,2026-09
False,,2267,ヤクルト本社,【100株】「ライト会員」入会権,1000,28.0,0.36,,,max逆日歩:5.0,2026-09
False,,2281,プリマハム,【200株】ハム 3000円相当,3000,48.0,0.6,200,,max逆日歩:6.0,2026-09
False,,2282,日本ハム,【300株】オンラインショップクーポン1000円【注：継続保有制限】,3000,302.0,0.1,1000,,max逆日歩:13.0,2026-09
False,,2288,丸大食品,【200株】ハムなどの自社商品 3000円相当,3000,45.0,0.7,200,,max逆日歩:15.0,2026-09
False,,2307,クロスキャット,【200株】【2027基準日変更】クオカード 500円相当,500,21.0,0.2,,,,2026-09
False,,2335,キューブシステム,【200株】ギフトカード 1000円相当,1000,22.0,0.5,,,注意喚起:注意喚起 / max逆日歩:18.0,2026-09
False,,2340,極楽湯ホールディングス,【100株】無料入浴券 4枚【注：継続保有制限】,2000,5.0,3.7,,,,2026-09
False,,2378,ルネサンス,【100株】株主ご優待券2枚,2000,10.0,1.9,,,注意喚起:申込停止 / max逆日歩:48,2026-09
False,,2432,ディー・エヌ・エー,【100株】プロバスケットボール観戦チケット1枚など,200,25.0,0.08,300,,,2026-09
False,,2454,オールアバウト,【300株】プレミアム優待クラブ 1000ポイント,600,10.0,0.57,,,,2026-09
False,,2464,Ａｏｂａ－ＢＢＴ,【100株】割引券10%,1000,4.0,2.66,,,,2026-09
False,,2480,システム・ロケーション,【100株】クオカード1000円相当,950,19.0,0.51,,,,2026-09
False,,2497,ユナイテッド,【1000株】プレミアム優待クラブ2500ポイント,1500,52.0,0.29,,,注意喚起:申込停止 / max逆日歩:12,2026-09
False,,2551,マルサンアイ,"【100株】自社製品1,500円相当",750,36.0,0.21,,,,2026-09
False,,2586,フルッタフルッタ,【100株】公式ECサイト15%割引,1000,1.0,16.67,,,,2026-09
False,,2594,キーコーヒー,【100株】コーヒーなど 1000円相当,1000,20.0,0.5,,,注意喚起:注意喚起 / max逆日歩:17.0,2026-09
False,,2652,まんだらけ,【100株】まんだらけ株主優待券500円分,310,4.0,0.71,,,max逆日歩:16.0,2026-09
False,,2654,アスモ,【300株】松阪牛カレー1個 及び 松阪牛焼肉缶詰1個,1800,13.0,1.4,,,注意喚起:申込停止,2026-09
