取得日時,権利年月,残日数(D-N),コード,銘柄名,日興在庫,カブ在庫,楽天在庫,SBI信号,GMO信号,松井信号,マネ信号,株価,株数,クロス日数,貸株コスト,最大逆日歩,Rtn_楽天,Rtn_日興,Rtn_SBI
2026-09-23 06:45,2027-01,86,1433,ベステラ,0,,,―,―,―,―,1203,1000,127,4604,53.0,,,―
2026-09-23 06:45,2027-01,86,1444,ニッソウ,,,,―,―,―,―,2731,300,127,3136,0,,,―
2026-09-23 06:45,2027-01,86,1928,積水ハウス,1800,915900,88400,◎,8100,◎,◎,3350,1000,127,12822,12.0,128000,,◎
2026-09-23 06:45,2027-01,86,2353,日本駐車場開発,0,,146900,16.2万,46000,―,―,272,500,127,521,1.0,,,16.2万
2026-09-23 06:45,2027-01,86,2424,ブラス,0,,,―,―,―,―,614,100,127,235,0,,,―
2026-09-23 06:45,2027-01,86,2590,ダイドーグループホールディングス,1300,,7600,―,―,―,―,3010,200,116,2105,10,,,―
2026-09-23 06:45,2027-01,86,3070,アマガサ,,,,―,―,―,―,0,100,127,,0,,,―
2026-09-23 06:45,2027-01,86,3071,ストリーム,,,,―,―,―,―,0,100,127,,0,,,―
2026-09-23 06:45,2027-01,86,3169,ミサワ,0,,,×,―,―,―,678,300,127,778,0,,,×
2026-09-23 06:45,2027-01,86,3172,ティーライフ,0,,,―,―,―,―,1125,100,127,431,58.0,,,―
2026-09-23 06:45,2027-01,86,3193,エターナルホスピタリティグループ,0,,900,×,0,―,―,1323,100,127,506,66.0,,0,×
2026-09-23 06:45,2027-01,86,3246,コーセーアールイー,0,,,―,―,―,―,688,100,127,263,0,,,―
2026-09-23 06:45,2027-01,86,3320,クロスプラス,,,,―,―,―,―,1300,100,127,498,51,,,―
2026-09-23 06:45,2027-01,86,3399,丸千代山岡家,,,,―,―,―,―,3840,100,127,1470,43.0,,,―
2026-09-23 06:45,2027-01,86,3415,ＴＯＫＹＯ　ＢＡＳＥ,0,,,900,0,―,―,351,100,127,134,1.0,,0,900
2026-09-23 06:45,2027-01,86,3421,稲葉製作所,0,,,3.3万,200,―,―,1621,1000,127,6204,0,,0,3.3万
2026-09-23 06:45,2027-01,86,3455,ヘルスケア＆メディカル投資法人,5,,,―,―,―,―,96000,1,127,367,465,,,―
2026-09-23 06:45,2027-01,86,3662,エイチームホールディングス,0,,,×,0,―,―,937,500,127,1793,62.0,,0,×
2026-09-23 06:45,2027-01,86,4014,カラダノート,,,,―,―,―,―,453,1000,127,1734,0,,,―
2026-09-23 06:45,2027-01,86,5031,モイ,,,,―,―,―,―,384,200,127,294,0,,,―
2026-09-23 06:45,2027-01,86,5248,テクノロジーズ,,,,―,―,―,―,517,1000,127,1979,0,,,―
2026-09-23 06:45,2027-01,86,6040,日本スキー場開発,,,,―,―,―,―,465,100,127,178,0,,,―
2026-09-23 06:45,2027-01,86,6654,不二電機工業,0,,,―,―,―,―,1080,300,127,1240,58.0,,,―
2026-09-23 06:45,2027-01,86,7073,ジェイック,,,,―,―,―,―,2282,100,127,873,0,,,―
2026-09-23 06:45,2027-01,86,7097,さくらさくプラス,,,,―,―,―,―,2740,200,127,2097,0,,,―
2026-09-23 06:45,2027-01,86,7343,ブロードマインド,,,,―,―,―,―,1330,400,127,2036,0,,,―
2026-09-23 06:45,2027-01,86,7590,タカショー,0,,,2000,―,―,―,394,500,116,689,0,,,2000
2026-09-23 06:45,2027-01,86,7614,オーエムツーネットワーク,,,,―,―,―,―,1542,100,127,590,0,,,―
2026-09-23 06:45,2027-01,86,7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,,,,―,―,―,―,2749,100,127,1052,0,,,―
2026-09-23 06:45,2027-01,86,7678,あさくま,,,,―,―,―,―,3840,100,127,1470,307.0,,,―
2026-09-23 06:45,2027-01,86,7683,ダブルエー,,,,―,―,―,―,1410,100,127,540,0,,,―
2026-09-23 06:45,2027-01,86,8013,ナイガイ,0,,,―,―,―,―,376,100,127,144,4,,,―
2026-09-23 06:45,2027-01,86,8142,トーホー,0,3200,6900,×,0,―,▲,1388,300,127,1594,9.0,,0,×
2026-09-23 06:45,2027-01,86,9166,ＧＥＮＤＡ,,,,―,―,―,―,690,100,127,264,0,,,―
2026-09-23 06:45,2027-01,86,9242,メディア総研,,,,―,―,―,―,0,200,127,,0,,,―
2026-09-23 06:45,2027-01,86,9262,シルバライフ,,,,×,0,―,―,1600,100,,612,,,,×
2026-09-23 06:45,2027-01,86,9476,中央経済社ホールディングス,,,,―,―,―,―,0,900,127,,0,,,―
2026-09-23 06:45,2027-01,86,9632,スバル興業,0,,9300,×,100,―,▲,3525,500,127,6746,0,,0,×
2026-09-23 06:45,2027-01,86,9636,きんえい,,,,―,―,―,―,4200,75,127,1206,0,,,―
