監視,優先度,コード,銘柄名,優待内容,優待価値,必要資金,総合利回り,売建上限,長期優遇,制度信用指標,権利月
False,,1436,グリーンエナジー＆カンパニー,"【900株】デジタルギフト15,000円分【注：継続保有制限】",14250.0,153.0,0.9,,,,2026-10
False,,2301,学情,QUO,3000.0,88.0,0.3,,,max逆日歩:115.0,2026-10
False,,2375,ギグワークス,【1000株】デジタルギフト3000円 及び 日本直販WEBサイト２０％割引クーポン,2100.0,20.0,1.07,,,,2026-10
False,,2751,テンポスホールディングス,【100株】協力会社食事券3000円相当【抽選による増額あり】【注：継続保有制限】,2100.0,36.0,0.58,,,max逆日歩:77.0,2026-10
False,,2910,ロック・フィールド,【100株】おそうざい券500円相当【注：継続保有制限】,400.0,14.0,0.29,,,max逆日歩:17,2026-10
False,,2923,サトウ食品,【100株】餅・米飯など1000円相当,400.0,73.0,0.05,,,,2026-10
False,,3031,ラクーンホールディングス,【500株】デジタルギフト7500円相当【注：継続保有制限】,7275.0,34.0,2.13,,,max逆日歩:26.0,2026-10
False,,3038,神戸物産,Gyomuca,1000.0,31.0,0.3,,,max逆日歩:4.0,2026-10
False,,3134,Hamee,クーポン,4000.0,3.0,13.7,,,注意喚起:申込停止 / max逆日歩:10.0,2026-10
False,,3195,ジェネレーションパス,【100株】株主優待券2000円分,2000.0,5.0,4.35,,,max逆日歩:0.0,2026-10
False,,3329,東和フードサービス,【100株】優待食事券 もしくは 椿屋珈琲グループアプリポイント 1000円相当,600.0,21.0,0.28,,,max逆日歩:70.0,2026-10
False,,3361,トーエル,【500株】自社商品 1500円相当,600.0,45.0,0.13,,,,2026-10
False,,3419,アートグリーン,【100株】ミディ胡蝶蘭1鉢,1800.0,19.77,0.91,,,,2026-10
False,,3475,グッドコムアセット,【1000株】【2026のみ】デジタルギフト50000円相当,48500.0,147.4,3.29,,,注意喚起:申込停止 / max逆日歩:102.0,2026-10
False,,3903,ｇｕｍｉ,【100株】【2026のみ】クオカード500円,475.0,2.0,2.31,,,max逆日歩:0.0,2026-10
False,,3908,コラボス,"【1000株】【2027より保有制限】デジタルギフト® 15,000円分",14550.0,11.0,13.66,,,,2026-10
False,,3974,ＳＣＡＴ,【100株】【2027変更】クオカード1000円相当,950.0,6.6,1.44,,,,2026-10
False,,4382,ＨＥＲＯＺ,【1000株】プレミアム優待クラブ7500ポイント,4500.0,82.0,0.54,,,注意喚起:注意喚起 / max逆日歩:30,2026-10
False,,4441,トビラシステムズ,【100株】迷惑電話・迷惑SMS対策アプリ「トビラフォンモバイル」1年間無料利用,,15.0,0.0,,,,2026-10
False,,4450,パワーソリューションズ,【100株】クオカード4000円相当,3800.0,23.0,1.64,,,,2026-10
False,,4666,パーク二四,【100株】タイムズカー入会特典 及び カーシェアeチケット2枚,10.0,20.0,0.01,,,max逆日歩:0.0,2026-10
False,,4707,キタック,"【100株】クオカード1,000円分",950.0,3.0,2.79,,,,2026-10
False,,6194,アトラエ,【500株】【2027より保有制限】デジタル優待倶楽部10000ポイント,6000.0,44.0,1.38,,,,2026-10
False,,6309,巴工業,【200株】ワイン1本【注：継続保有制限】,1000.0,40.0,0.25,,,,2026-10
False,,7604,梅の花,【100株】10％割引優待証１枚,1400.0,9.14,1.53,,,,2026-10
False,,7640,トップカルチャー,【500株】【2026増額】図書カード2000円相当,1600.0,10.0,1.71,,,max逆日歩:32,2026-10
False,,7831,ウイルコホールディングス,【1000株】自社子会社製品（化粧品）7000円相当,2800.0,7.0,4.24,,,,2026-10
False,,7856,萩原工業,QUO等,1000.0,20.0,0.5,,,max逆日歩:54.0,2026-10
False,,8079,正栄食品,菓子類,1250.0,45.0,0.28,,,max逆日歩:35.0,2026-10
False,,8917,ファースト住建,【100株】クオカード500円相当【注：継続保有制限】,475.0,11.0,0.44,,,max逆日歩:77.0,2026-10
False,,8927,明豊エンタープライズ,"【2000株】デジタルギフト10,000円分",9700.0,97.0,0.99,,,max逆日歩:16,2026-10
False,,9251,ＡＢ＆Ｃｏｍｐａｎｙ,"【200株】オンラインストア優待券10,000円相当",10000.0,33.0,3.08,,,,2026-10
False,,9254,ラバブルマーケティンググループ,【100株】クオカード1000円相当【注：継続保有制限】,950.0,11.0,0.86,,,,2026-10
False,,9279,ギフト,ポイント,1000.0,20.0,0.5,,,max逆日歩:15,2026-10
False,,9444,トーシンホールディングス,【300株】ゴルフ場平日１Ｒ無料御招待１回,3167.0,7.56,4.19,,,,2026-10
False,,9603,ＨＩＳ,優待券,4000.0,11.0,3.5,,,max逆日歩:0.0,2026-10
False,,9678,カナモト,【500株】北海道特産品 2000円相当【注：継続保有制限】,800.0,268.0,0.03,,,max逆日歩:7.0,2026-10
False,,9824,泉州電業,QUO,1000.0,79.0,0.1,,,max逆日歩:16.0,2026-10
